panel	sample_id	PC1	PC2	cultivar	treatment	replicate	run	input_read_pairs	surviving_read_pairs	fastp_survival_fraction	q30_rate_after	star_input_reads	star_unique_percent	star_multi_percent	star_mismatch_percent	host_mapped_alignments	pathogen_mapped_alignments	unmapped_alignments	host_fraction_of_host_pathogen	pathogen_fraction_of_host_pathogen	salmon_mapping_rate	technical_gate	technical_gate_reason	gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	union_exon_bases	scored_exonic_bases	unique_exonic_bases	fraction_exonic_bases_scored	fraction_unique_mappability	mappability_status	overlapping_gene_count	overlapping_genes	unique_gene_model_status	uniform_gene_qc_status	primary_gene_status	log2fc	lfc_se	p	q	contrast	group	normalized_count
A_PCA	GW_P1	-32.4417408225893	-18.0769404472051	Guiwei	infected	1																																													
A_PCA	GW_P2	-17.1558703373087	-38.8896370950675	Guiwei	infected	2																																													
A_PCA	GW_P3	-36.1348573349388	-14.026794284769	Guiwei	infected	3																																													
A_PCA	GW_M1	-43.3231625314043	7.23230211655557	Guiwei	mock	1																																													
A_PCA	GW_M2	-64.066223505146	39.2270608404271	Guiwei	mock	2																																													
A_PCA	GW_M3	-32.4599090544648	-3.36816501814347	Guiwei	mock	3																																													
A_PCA	YR_P1	42.0967783097466	-18.3015139013188	Yurong1	infected	1																																													
A_PCA	YR_P2	35.3174208263219	-11.1699274651294	Yurong1	infected	2																																													
A_PCA	YR_P3	38.8578820066147	-4.41309732343324	Yurong1	infected	3																																													
A_PCA	YR_M1	30.6955168662977	16.5598172752095	Yurong1	mock	1																																													
A_PCA	YR_M2	37.2044333840652	20.9492930225031	Yurong1	mock	2																																													
A_PCA	YR_M3	41.4097321928059	24.2776022803712	Yurong1	mock	3																																													
B_mapping	GW_P1			Guiwei	infected		SRR18856609	27589288	27480909	0.9960717000018268	0.94784	27480909	85.4	6.84	1.18	57236041	1660	4265323	0.9999709981363507	2.90018636492755e-05	0.8213824004147752	INCLUDE	none																												
B_mapping	GW_P2			Guiwei	infected		SRR18856608	24712086	24615999	0.9961117406276427	0.946275	24615999	84.94	7.35	1.18	53062106	2176	3798246	0.9999589931321411	4.100686785887351e-05	0.8108762110365701	INCLUDE	none																												
B_mapping	GW_P3			Guiwei	infected		SRR18856607	23464345	23362945	0.9956785497315181	0.943278	23362945	86.2	6.71	1.19	48163087	1144	3312581	0.9999762479338661	2.3752066133890938e-05	0.8242960808237146	INCLUDE	none																												
B_mapping	GW_M1			Guiwei	mock		SRR18856600	23713927	23621298	0.9960938987456611	0.94752	23621298	85.78	6.75	1.17	49050142	18	3529910	0.99999963302872	3.6697128001213454e-07	0.8256241041453353	INCLUDE	none																												
B_mapping	GW_M2			Guiwei	mock		SRR18856599	27078211	26977056	0.9962643396197777	0.94768	26977056	85.84	6.81	1.21	56513488	28	3967742	0.9999995045433026	4.954566974739282e-07	0.8114191185279818	INCLUDE	none																												
B_mapping	GW_M3			Guiwei	mock		SRR18856598	27023925	26912355	0.9958714361440835	0.948871	26912355	85.77	7.11	1.17	57237690	24	3832026	0.9999995806960424	4.193039575270249e-07	0.8226135542578864	INCLUDE	none																												
B_mapping	YR_P1			Yurong1	infected		SRR18856603	22562872	22486331	0.9966076570394052	0.947805	22486331	84.44	6.94	1.17	47166658	4790	3877314	0.9998984555233497	0.00010154447665036698	0.8077340407379043	INCLUDE	none																												
B_mapping	YR_P2			Yurong1	infected		SRR18856602	23190483	23101920	0.9961810627230144	0.945264	23101920	85.29	6.91	1.2	47884490	1628	3605300	0.9999660026732591	3.399732674091477e-05	0.8125444984659284	INCLUDE	none																												
B_mapping	YR_P3			Yurong1	infected		SRR18856601	21327810	21252089	0.9964496589195047	0.947443	21252089	85.11	6.62	1.2	44109822	1908	3513664	0.9999567461988002	4.325380119981692e-05	0.82075489143679	INCLUDE	none																												
B_mapping	YR_M1			Yurong1	mock		SRR18856606	22913560	22813324	0.9956254724276804	0.942692	22813324	85.77	6.75	1.22	47498608	54	3409658	0.9999988631258708	1.1368741292123134e-06	0.8164981569542431	INCLUDE	none																												
B_mapping	YR_M2			Yurong1	mock		SRR18856605	23500962	23405447	0.9959356982918401	0.943713	23405447	86.22	6.52	1.21	48426495	20	3398793	0.9999995870031119	4.1299688817169685e-07	0.8192480152162871	INCLUDE	none																												
B_mapping	YR_M3			Yurong1	mock		SRR18856604	23550573	23448771	0.9956773026286876	0.944644	23448771	86.18	6.48	1.2	48407832	0	3442980	1.0	0.0	0.8229870554836328	INCLUDE	none																												
C_volcano_F_gate																								LITCHI008721	835.697519395944	-1.91058272270929	0.245902825478273	-7.76966559450171	7.86936029320512e-15	7.86851905355691e-11	-7.76966559450171	-1.84138938011684	TRUE	2552	2552	2552	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI029455	349.617726596391	-1.78037134571311	0.229248689468255	-7.76611351560049	8.09310265215419e-15	7.86851905355691e-11	-7.76611351560049	-1.72019434523747	TRUE	7065	7065	6952	1	0.98400566	PASS	1	LITCHI029454	FAIL	FAIL	RETIRED_GENE_MODEL_AMBIGUITY							
C_volcano_F_gate																								LITCHI005805	414.369536849077	2.07255591145601	0.303473667985133	6.82944232103042	8.5245361279684e-12	5.52532016694485e-08	6.82944232103042	1.98215378859914	TRUE	2410	2410	2410	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI015740	358.63472289338	-1.96299486758937	0.293797466454524	-6.68145607679435	2.36579690309512e-11	1.15007301951712e-07	-6.68145607679435	-1.87322869807968	TRUE	1261	1261	1261	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI010877	250.398804803804	-2.77434466350923	0.423133579574518	-6.55666389393858	5.50248397124492e-11	2.13991601641715e-07	-6.55666389393858	-2.64100191381313	TRUE	2475	2475	2475	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI009437	970.725814938524	1.03949061099977	0.159872750542737	6.50198740855402	7.92657367482099e-11	2.56887041844824e-07	6.50198740855402	0.990859021685459	TRUE	1431	1431	1431	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI009986	1454.28086457791	0.984607140137177	0.153416309295172	6.41787789486449	1.38187018675689e-10	3.83863796878395e-07	6.41787789486449	0.937292849406453	TRUE	5425	5425	253	1	0.04663594	FAIL	1	LITCHI009985	FAIL	FAIL	RETIRED_MAPPING_FAILURE							
C_volcano_F_gate																								LITCHI023626	1080.56343758062	-1.40847760833401	0.221948011329959	-6.34597985309312	2.21014159189311e-10	5.3720254067952e-07	-6.34597985309312	-1.33735416055161	TRUE	1163	1163	1163	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI015982	87.7673876559649	3.42612366371821	0.546401419425672	6.2703418071634	3.60256391776514e-10	7.78353948677146e-07	6.2703418071634	3.24129495890425	TRUE	5419	5419	5419	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI029642	186.550061447991	1.56693704690943	0.25601682306565	6.12044563379191	9.33140171419192e-10	1.81449106332462e-06	6.12044563379191	1.48190338684563	TRUE	5209	5209	5209	1	1	PASS	1	LITCHI029643	FAIL	FAIL	RETIRED_GENE_MODEL_AMBIGUITY							
C_volcano_F_gate																								LITCHI025204	437.443579317214	2.85870852391512	0.476676049101646	5.99717256468561	2.00782666811757e-09	3.54928996014056e-06	5.99717256468561	2.68889471364192	TRUE	1941	1941	1941	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI014613	165.839704254944	3.69273027953801	0.632805548305548	5.83548973207641	5.36327997087288e-09	8.69074825280193e-06	5.83548973207641	3.46233689714127	TRUE	2393	2393	2132	1	0.89093188	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI028717	3721.18577571364	-0.907362306726487	0.159265085420699	-5.69718280896085	1.21803303941862e-08	1.8218963424227e-05	-5.69718280896085	-0.85211812450014	TRUE	504	504	503	1	0.99801587	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI020058	1115.36193313882	-0.941598616265346	0.165948419805552	-5.67404388284416	1.39465380663536e-08	1.93707451928746e-05	-5.67404388284416	-0.883245223671589	TRUE	4703	4703	4703	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI013915	723.865214102027	1.58253973508206	0.286928321560621	5.51545322007438	3.47882273009358e-08	4.39633402885569e-05	5.51545322007438	1.4675465533261	TRUE	3837	3837	3837	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI016077	169.869231177948	1.81072779153467	0.328710600813072	5.5085774144667	3.61745150227262e-08	4.39633402885569e-05	5.5085774144667	1.68517914998242	TRUE	2713	2713	2713	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI028926	122.486837835521	1.90078618581322	0.348694104193318	5.45115665264994	5.00432632024504e-08	5.72406619395087e-05	5.45115665264994	1.7646744623068	TRUE	3078	3078	3078	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI021546	767.654892573609	1.31268337866113	0.242438819224344	5.41449336727886	6.14624815276389e-08	6.63965529613855e-05	5.41449336727886	1.21770855461072	TRUE	5195	5195	5195	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI005234	333.765709197544	2.41562318712994	0.463660047658249	5.20990152015518	1.88940892536577e-07	0.000193366087124934	5.20990152015518	2.22617909067335	TRUE	1852	1852	1820	1	0.98272138	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI014480	680.154463912961	-1.01836067537996	0.198601413350813	-5.12766076634665	2.93364437380317e-07	0.000285223574243013	-5.12766076634665	-0.938477441629648	TRUE	4665	4665	4665	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI022605	1308.9610061153	0.744942891873029	0.145658082885698	5.11432580406544	3.14863499384987e-07	0.000291548606930528	5.11432580406544	0.690465751988638	TRUE	5633	5633	5633	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI005404	2413.50838816146	0.990278117218192	0.194773158658812	5.08426378684387	3.69054738402447e-07	0.000326194063101617	5.08426378684387	0.911370107700133	TRUE	7337	7337	7337	1	1	PASS	1	LITCHI005405	FAIL	FAIL	RETIRED_GENE_MODEL_AMBIGUITY							
C_volcano_F_gate																								LITCHI009639	190.088327438604	-1.77880934382893	0.352060047833241	-5.05257371512799	4.3589603779812e-07	0.000368521671955845	-5.05257371512799	-1.6301907182217	TRUE	1861	1861	1861	1	1	PASS	0		PASS	PASS	DISCOVERED							
C_volcano_F_gate																								LITCHI012815	98.6635646434675	-2.54894194259723	0.50947302816597	-5.00309496613207	5.641713043685e-07	0.000457096292226895	-5.00309496613207	-2.3653747798612	TRUE	690	690	690	1	1	PASS	0		PASS	PASS	DISCOVERED							
