panel	gene_id	canonical_transcript_id	protein_length	protein_md5	swissprot_accession	swissprot_description	swissprot_query_coverage	rice_ortholog_accession	rice_query_coverage	pfam_accessions	interpro_accessions	architecture_union_coverage	interpro_status	swissprot_evidence_pass	rice_rbh_evidence_pass	interpro_pfam_evidence_pass	annotation_evidence_classes	annotation_evidence_class_count	maximum_supported_sequence_coverage	architecture_conflict_status	high_confidence_annotation	reported_function	annotation_status	annotation_failure	resource	upstream_modified_utc	archive_sha256	archive_file_count	species_catalogue_entries	exact_litchi_species_entries	litchi_mature_files	reference_gate_status	reason	allowed_next_action	matrix_id	motif_name	tf_class	tf_family	litchi_tf_gene_id	litchi_tf_max_group_median_normalized_count	tf_expression_status	ame_pass_count_1000bp	ame_pass_count_2000bp	fimo_pass_count_1000bp	fimo_pass_count_2000bp	both_windows_ame_pass	discovery_motif_status	external_transport_status	external_motif_transport_status	direct_replication	DOI	gene_or_pathway	species_or_cultivar	biological_material	accession_overlap	evidence_modality	independent_of_current_datasets	exact_support	limitation	title	source_url
A_annotation	LITCHI000271	LITCHI000271.m1	442	31c7b25813d2b18d2cadf27f3cc3bc59								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False																																					
A_annotation	LITCHI001129	LITCHI001129.m2	663	7596de9a54cd22c23274c36eceb0de5a	A7HYV8	GTPase Der	0.7767722473604827					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.7767722473604827	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	GTPase Der	FAMILY_LEVEL_FUNCTION	False																																					
A_annotation	LITCHI001375	LITCHI001375.m1	417	e4c506badfb2caa9d09543ec74603d25	F4HVM3	WAT1-related protein At1g68170	0.8033573141486811					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.8033573141486811	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	WAT1-related protein At1g68170	FAMILY_LEVEL_FUNCTION	False																																					
A_annotation	LITCHI001603	LITCHI001603.m3	820	d6d6a7c83f9aea86d807a6daa9a14b26	O81767	Pentatricopeptide repeat-containing protein At4g33990	0.9914634146341463	A0A0P0VZ90	0.785			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9914634146341463	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At4g33990	FAMILY_LEVEL_FUNCTION	False																																					
A_annotation	LITCHI001700	LITCHI001700.m1	277	c32dca2511fe981d2d2208bbf9549e74	P0DXK7	Fe(II)/2-oxoglutarate-dependent dioxygenase 4	1.0108303249097472					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0108303249097472	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Fe(II)/2-oxoglutarate-dependent dioxygenase 4	FAMILY_LEVEL_FUNCTION	False																																					
A_annotation	LITCHI001879	LITCHI001879.m1	951	beb9fb497ec4f93bd20e5e0745fe172e	Q9NW13	RNA-binding protein 28	0.7749737118822292	Q10BX7	0.775			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.775	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	RNA-binding protein 28	FAMILY_LEVEL_FUNCTION	False																																					
A_annotation	LITCHI001963	LITCHI001963.m1	126	01f67f80eb98662b7ac904808959e321				Q10P23	0.984			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.984	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	family of Oryza ortholog Q10P23	FAMILY_LEVEL_FUNCTION	False																																					
A_annotation	LITCHI001999	LITCHI001999.m1	161	79894d9b7b7bc9345f21d1e2b12345b4	Q9FYB5	Chaperone protein dnaJ 11, chloroplastic	0.6335403726708074					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.6335403726708074	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Chaperone protein dnaJ 11, chloroplastic	UNANNOTATED	False																																					
A_annotation	LITCHI002015	LITCHI002015.m1	648	7750ed387e46eeccf367280fe5f9d1ff	Q9SVP7	Pentatricopeptide repeat-containing protein At4g13650	0.9429012345679012	Q5N7W0	0.914			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9429012345679012	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At4g13650	FAMILY_LEVEL_FUNCTION	False																																					
A_annotation	LITCHI002040	LITCHI002040.m1	281	625e36cc8f898a4c7f897eda993897d3	P93004	Aquaporin PIP2-7	1.0	Q7XLR1	1.0			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Aquaporin PIP2-7	FAMILY_LEVEL_FUNCTION	False																																					
