gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	union_exon_bases	scored_exonic_bases	unique_exonic_bases	fraction_exonic_bases_scored	fraction_unique_mappability	mappability_status	overlapping_gene_count	overlapping_genes	unique_gene_model_status	uniform_gene_qc_status	primary_gene_status
LITCHI008721	835.697519395944	-1.91058272270929	0.245902825478273	-7.76966559450171	7.86936029320512e-15	7.86851905355691e-11	-7.76966559450171	-1.84138938011684	TRUE	2552	2552	2552	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI005805	414.369536849077	2.07255591145601	0.303473667985133	6.82944232103042	8.5245361279684e-12	5.52532016694485e-08	6.82944232103042	1.98215378859914	TRUE	2410	2410	2410	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI015740	358.63472289338	-1.96299486758937	0.293797466454524	-6.68145607679435	2.36579690309512e-11	1.15007301951712e-07	-6.68145607679435	-1.87322869807968	TRUE	1261	1261	1261	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI010877	250.398804803804	-2.77434466350923	0.423133579574518	-6.55666389393858	5.50248397124492e-11	2.13991601641715e-07	-6.55666389393858	-2.64100191381313	TRUE	2475	2475	2475	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI009437	970.725814938524	1.03949061099977	0.159872750542737	6.50198740855402	7.92657367482099e-11	2.56887041844824e-07	6.50198740855402	0.990859021685459	TRUE	1431	1431	1431	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI023626	1080.56343758062	-1.40847760833401	0.221948011329959	-6.34597985309312	2.21014159189311e-10	5.3720254067952e-07	-6.34597985309312	-1.33735416055161	TRUE	1163	1163	1163	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI015982	87.7673876559649	3.42612366371821	0.546401419425672	6.2703418071634	3.60256391776514e-10	7.78353948677146e-07	6.2703418071634	3.24129495890425	TRUE	5419	5419	5419	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI025204	437.443579317214	2.85870852391512	0.476676049101646	5.99717256468561	2.00782666811757e-09	3.54928996014056e-06	5.99717256468561	2.68889471364192	TRUE	1941	1941	1941	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI014613	165.839704254944	3.69273027953801	0.632805548305548	5.83548973207641	5.36327997087288e-09	8.69074825280193e-06	5.83548973207641	3.46233689714127	TRUE	2393	2393	2132	1	0.89093188	PASS	0		PASS	PASS	DISCOVERED
LITCHI028717	3721.18577571364	-0.907362306726487	0.159265085420699	-5.69718280896085	1.21803303941862e-08	1.8218963424227e-05	-5.69718280896085	-0.85211812450014	TRUE	504	504	503	1	0.99801587	PASS	0		PASS	PASS	DISCOVERED
LITCHI020058	1115.36193313882	-0.941598616265346	0.165948419805552	-5.67404388284416	1.39465380663536e-08	1.93707451928746e-05	-5.67404388284416	-0.883245223671589	TRUE	4703	4703	4703	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI013915	723.865214102027	1.58253973508206	0.286928321560621	5.51545322007438	3.47882273009358e-08	4.39633402885569e-05	5.51545322007438	1.4675465533261	TRUE	3837	3837	3837	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI016077	169.869231177948	1.81072779153467	0.328710600813072	5.5085774144667	3.61745150227262e-08	4.39633402885569e-05	5.5085774144667	1.68517914998242	TRUE	2713	2713	2713	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI028926	122.486837835521	1.90078618581322	0.348694104193318	5.45115665264994	5.00432632024504e-08	5.72406619395087e-05	5.45115665264994	1.7646744623068	TRUE	3078	3078	3078	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI021546	767.654892573609	1.31268337866113	0.242438819224344	5.41449336727886	6.14624815276389e-08	6.63965529613855e-05	5.41449336727886	1.21770855461072	TRUE	5195	5195	5195	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI005234	333.765709197544	2.41562318712994	0.463660047658249	5.20990152015518	1.88940892536577e-07	0.000193366087124934	5.20990152015518	2.22617909067335	TRUE	1852	1852	1820	1	0.98272138	PASS	0		PASS	PASS	DISCOVERED
LITCHI014480	680.154463912961	-1.01836067537996	0.198601413350813	-5.12766076634665	2.93364437380317e-07	0.000285223574243013	-5.12766076634665	-0.938477441629648	TRUE	4665	4665	4665	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI022605	1308.9610061153	0.744942891873029	0.145658082885698	5.11432580406544	3.14863499384987e-07	0.000291548606930528	5.11432580406544	0.690465751988638	TRUE	5633	5633	5633	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI009639	190.088327438604	-1.77880934382893	0.352060047833241	-5.05257371512799	4.3589603779812e-07	0.000368521671955845	-5.05257371512799	-1.6301907182217	TRUE	1861	1861	1861	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI012815	98.6635646434675	-2.54894194259723	0.50947302816597	-5.00309496613207	5.641713043685e-07	0.000457096292226895	-5.00309496613207	-2.3653747798612	TRUE	690	690	690	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI004438	748.8554405493	1.46471169048401	0.293258482162983	4.99460980525016	5.89548410643722e-07	0.000458550753798687	4.99460980525016	1.34020207364397	TRUE	2296	2296	2296	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI002263	231.269591648765	-1.27206412023338	0.255328886976579	-4.98206111849016	6.2910556546736e-07	0.000470498373865878	-4.98206111849016	-1.16524428638502	TRUE	594	594	594	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI029373	481.848795376914	-0.761291752666979	0.154811649778599	-4.91753530019044	8.76406565787962e-07	0.000608633059705247	-4.91753530019044	-0.699876709289643	TRUE	2488	2488	2488	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI019822	697.903182821242	-0.730865538412879	0.14972258005857	-4.88146502769971	1.05300599619159e-06	0.00070605867572226	-4.88146502769971	-0.67208334450578	TRUE	1180	1180	1038	1	0.87966102	PASS	0		PASS	PASS	DISCOVERED
LITCHI011122	210.769366677713	1.53140442080389	0.316095398808259	4.84475391472821	1.26768702356783e-06	0.000770317942914888	4.84475391472821	1.39414986801529	TRUE	3619	3619	3619	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI008817	938.834279254755	-1.23258869770076	0.255074855163826	-4.83226265838361	1.34989995360801e-06	0.000795418321148719	-4.83226265838361	-1.11738522863896	TRUE	2813	2813	2813	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI023108	2089.5581393028	1.2004305898851	0.250588418613182	4.79044720633371	1.66410004668853e-06	0.000924526440224526	4.79044720633371	1.09004911099841	TRUE	1968	1968	1968	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI010325	294.293959072197	-1.77220035077222	0.372629025705055	-4.75593748345026	1.97527595071266e-06	0.0010156123433396	-4.75593748345026	-1.60114984232782	TRUE	1310	1310	1310	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI031010	196.777978964216	-1.99719086698081	0.420021589907048	-4.75497192280709	1.98473998698404e-06	0.0010156123433396	-4.75497192280709	-1.80453243678916	TRUE	2544	2544	2544	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI019857	285.620508381531	1.03246151283045	0.218701820054714	4.72086383447632	2.34845121264482e-06	0.0011709136879456	4.72086383447632	0.936603819562557	TRUE	3099	3099	3099	1	1	PASS	0		PASS	PASS	DISCOVERED
LITCHI006337	364.134005562671	-1.42715758717594	0.304070688059359	-4.69350596167079	2.68562160340898e-06	0.00127886488498145	-4.69350596167079	-1.28771434352383	TRUE	294	294	294	1	1	PASS	0		PASS	PASS	DISCOVERED
