gene_id	union_exon_bases	scored_exonic_bases	unique_exonic_bases	fraction_exonic_bases_scored	fraction_unique_mappability	mappability_status	overlapping_gene_count	overlapping_genes	unique_gene_model_status	uniform_gene_qc_status
LITCHI000001	533	533	35	1.00000000	0.06566604	FAIL	0		PASS	FAIL
LITCHI000002	698	698	383	1.00000000	0.54871060	FAIL	0		PASS	FAIL
LITCHI000003	234	234	194	1.00000000	0.82905983	PASS	0		PASS	PASS
LITCHI000004	495	495	316	1.00000000	0.63838384	FAIL	0		PASS	FAIL
LITCHI000005	642	642	237	1.00000000	0.36915888	FAIL	0		PASS	FAIL
LITCHI000006	676	676	361	1.00000000	0.53402367	FAIL	0		PASS	FAIL
LITCHI000007	4646	4646	1086	1.00000000	0.23374946	FAIL	0		PASS	FAIL
LITCHI000008	450	450	327	1.00000000	0.72666667	FAIL	0		PASS	FAIL
LITCHI000009	516	516	0	1.00000000	0.00000000	FAIL	0		PASS	FAIL
LITCHI000010	694	694	57	1.00000000	0.08213256	FAIL	0		PASS	FAIL
LITCHI000011	848	848	1	1.00000000	0.00117925	FAIL	0		PASS	FAIL
LITCHI000012	649	649	54	1.00000000	0.08320493	FAIL	0		PASS	FAIL
LITCHI000013	201	201	176	1.00000000	0.87562189	PASS	0		PASS	PASS
LITCHI000014	1401	1401	193	1.00000000	0.13775874	FAIL	0		PASS	FAIL
LITCHI000015	330	330	251	1.00000000	0.76060606	FAIL	0		PASS	FAIL
LITCHI000016	1221	1221	665	1.00000000	0.54463554	FAIL	0		PASS	FAIL
LITCHI000017	474	474	4	1.00000000	0.00843882	FAIL	0		PASS	FAIL
LITCHI000018	570	570	339	1.00000000	0.59473684	FAIL	0		PASS	FAIL
LITCHI000019	412	412	196	1.00000000	0.47572816	FAIL	0		PASS	FAIL
LITCHI000020	330	330	266	1.00000000	0.80606061	PASS	0		PASS	PASS
LITCHI000021	5335	5335	1627	1.00000000	0.30496720	FAIL	0		PASS	FAIL
LITCHI000022	651	651	135	1.00000000	0.20737327	FAIL	0		PASS	FAIL
LITCHI000023	1269	1269	65	1.00000000	0.05122143	FAIL	0		PASS	FAIL
LITCHI000024	5398	5398	2616	1.00000000	0.48462393	FAIL	0		PASS	FAIL
LITCHI000025	459	459	459	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000026	5723	5723	4314	1.00000000	0.75380045	FAIL	0		PASS	FAIL
LITCHI000027	726	726	691	1.00000000	0.95179063	PASS	0		PASS	PASS
LITCHI000028	632	632	340	1.00000000	0.53797468	FAIL	0		PASS	FAIL
LITCHI000029	507	507	237	1.00000000	0.46745562	FAIL	0		PASS	FAIL
LITCHI000030	4423	4423	4265	1.00000000	0.96427764	PASS	0		PASS	PASS
LITCHI000031	264	264	264	1.00000000	1.00000000	PASS	0		PASS	PASS
