gene_id	legacy_annotation
LITCHI017995	metalloendoproteinase; calcium-related
LITCHI028104	jacalin-like lectin
LITCHI001512	poorly characterized responsive gene
LITCHI009301	osmotin/thaumatin-like protein
LITCHI025738	cyclase-like stress-related protein
LITCHI018043	plant lipid-transfer protein
LITCHI011394	pathogenesis-related protein
LITCHI001552	cyclase-like stress-related protein
LITCHI002550	cytochrome P450
LITCHI002793	osmotin/thaumatin-like protein
LITCHI019183	plant lipid-transfer protein
LITCHI019299	S-adenosylmethionine-related protein
LITCHI012388	heat-shock protein 70
LITCHI007102	phytosulfokine precursor
LITCHI019519	EF-hand calcium-binding protein
LITCHI028401	legacy selected interaction candidate
LITCHI001510	poorly characterized responsive gene
LITCHI017676	S-adenosylmethionine-related protein
