gene_id	canonical_transcript_id	protein_length	protein_md5	swissprot_accession	swissprot_description	swissprot_query_coverage	rice_ortholog_accession	rice_query_coverage	pfam_accessions	interpro_accessions	architecture_union_coverage	interpro_status	swissprot_evidence_pass	rice_rbh_evidence_pass	interpro_pfam_evidence_pass	annotation_evidence_classes	annotation_evidence_class_count	maximum_supported_sequence_coverage	architecture_conflict_status	high_confidence_annotation	reported_function	annotation_status	annotation_failure
LITCHI000271	LITCHI000271.m1	442	31c7b25813d2b18d2cadf27f3cc3bc59								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI001129	LITCHI001129.m2	663	7596de9a54cd22c23274c36eceb0de5a	A7HYV8	GTPase Der	0.7767722473604827					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.7767722473604827	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	GTPase Der	FAMILY_LEVEL_FUNCTION	False
LITCHI001375	LITCHI001375.m1	417	e4c506badfb2caa9d09543ec74603d25	F4HVM3	WAT1-related protein At1g68170	0.8033573141486811					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.8033573141486811	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	WAT1-related protein At1g68170	FAMILY_LEVEL_FUNCTION	False
LITCHI001603	LITCHI001603.m3	820	d6d6a7c83f9aea86d807a6daa9a14b26	O81767	Pentatricopeptide repeat-containing protein At4g33990	0.9914634146341463	A0A0P0VZ90	0.785			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9914634146341463	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At4g33990	FAMILY_LEVEL_FUNCTION	False
LITCHI001700	LITCHI001700.m1	277	c32dca2511fe981d2d2208bbf9549e74	P0DXK7	Fe(II)/2-oxoglutarate-dependent dioxygenase 4	1.0108303249097472					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0108303249097472	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Fe(II)/2-oxoglutarate-dependent dioxygenase 4	FAMILY_LEVEL_FUNCTION	False
LITCHI001879	LITCHI001879.m1	951	beb9fb497ec4f93bd20e5e0745fe172e	Q9NW13	RNA-binding protein 28	0.7749737118822292	Q10BX7	0.775			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.775	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	RNA-binding protein 28	FAMILY_LEVEL_FUNCTION	False
LITCHI001963	LITCHI001963.m1	126	01f67f80eb98662b7ac904808959e321				Q10P23	0.984			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.984	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	family of Oryza ortholog Q10P23	FAMILY_LEVEL_FUNCTION	False
LITCHI001999	LITCHI001999.m1	161	79894d9b7b7bc9345f21d1e2b12345b4	Q9FYB5	Chaperone protein dnaJ 11, chloroplastic	0.6335403726708074					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.6335403726708074	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Chaperone protein dnaJ 11, chloroplastic	UNANNOTATED	False
LITCHI002015	LITCHI002015.m1	648	7750ed387e46eeccf367280fe5f9d1ff	Q9SVP7	Pentatricopeptide repeat-containing protein At4g13650	0.9429012345679012	Q5N7W0	0.914			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9429012345679012	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At4g13650	FAMILY_LEVEL_FUNCTION	False
LITCHI002040	LITCHI002040.m1	281	625e36cc8f898a4c7f897eda993897d3	P93004	Aquaporin PIP2-7	1.0	Q7XLR1	1.0			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Aquaporin PIP2-7	FAMILY_LEVEL_FUNCTION	False
LITCHI002263	LITCHI002263.m1	86	e1cc6de57ed38904d8db7c1e897d64c2								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI002571	LITCHI002571.m1	186	836ce6a3dea0a0eb910d9e9d3d270343	Q9FFD5	CRIB domain-containing protein RIC4	0.8709677419354839					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.8709677419354839	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	CRIB domain-containing protein RIC4	FAMILY_LEVEL_FUNCTION	False
LITCHI003414	LITCHI003414.m1	477	bc5ba388341ad889d3b1fd6e547336b4	Q6NKW9	Glucan endo-1,3-beta-glucosidase 8	0.9454926624737946	Q852K4	0.931			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9454926624737946	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Glucan endo-1,3-beta-glucosidase 8	FAMILY_LEVEL_FUNCTION	False
LITCHI003497	LITCHI003497.m1	887	42b78bf9c4601b1d47bd8292cc7f6b96								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI003742	LITCHI003742.m1	708	c5ff78074f3ce3079e72163f815f28c4	Q9ZVN2	Phytyl ester synthase 1, chloroplastic	0.9194915254237288	A0A0P0V2Z4	0.895			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9194915254237288	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Phytyl ester synthase 1, chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI004207	LITCHI004207.m2	230	0c3a9e014ac5d22c6d51f3b710ddf54a	Q84J78	Single-stranded DNA-binding protein, mitochondrial	0.8130434782608695					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.8130434782608695	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Single-stranded DNA-binding protein, mitochondrial	FAMILY_LEVEL_FUNCTION	False
LITCHI004438	LITCHI004438.m1	431	13e7dd3ed8a3ea1ee9c72886fc6bc649	Q9ZSL6	RNA polymerase sigma factor sigD, chloroplastic	0.6937354988399071					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.6937354988399071	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	RNA polymerase sigma factor sigD, chloroplastic	UNANNOTATED	False
LITCHI004751	LITCHI004751.m2	376	1394520435427a030624ed16782c935a								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI004929	LITCHI004929.m2	191	532b5178d15bbf57682cae17f47d7966	P51823	ADP-ribosylation factor 2	0.9424083769633508					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9424083769633508	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	ADP-ribosylation factor 2	FAMILY_LEVEL_FUNCTION	False
LITCHI005008	LITCHI005008.m1	152	4022e9164230bec675f400a82efc6bf8	Q93VR4	MLP-like protein 423	0.993421052631579	Q7XUY5	0.961			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.993421052631579	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	MLP-like protein 423	FAMILY_LEVEL_FUNCTION	False
LITCHI005012	LITCHI005012.m1	446	5c5c9ce82d5a6fcc3bdf2fa5e82a4a21	B9HJR7	Xyloglucan O-acetyltransferase 1	0.9798206278026906	Q67V91	0.783			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9798206278026906	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Xyloglucan O-acetyltransferase 1	FAMILY_LEVEL_FUNCTION	False
LITCHI005048	LITCHI005048.m1	1184	757f8fa79700c5a5367bc41e9322e896	B9DFG3	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic	0.9206081081081081	Q6Z5P0	0.89			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9206081081081081	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI005234	LITCHI005234.m1	217	0220a0ff89c56b0424de9e0c64623e3c								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI005254	LITCHI005254.m2	463	6d8079460197b7d5c7909f33cc3c2312	Q9SS43	Xylan glycosyltransferase MUCI21	0.8682505399568035					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.8682505399568035	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Xylan glycosyltransferase MUCI21	FAMILY_LEVEL_FUNCTION	False
LITCHI005454	LITCHI005454.m1	103	6d307206b41886d4aa2c066c08ac5caa								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI005518	LITCHI005518.m1	924	29c1bb685ab3240b222a858f5fbd579d	Q9S7Y7	Alpha-xylosidase 1	0.9880952380952381	Q0JQZ2	0.99			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.99	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Alpha-xylosidase 1	FAMILY_LEVEL_FUNCTION	False
LITCHI005805	LITCHI005805.m1	594	fc59235c84a00f39be941484206191f8	Q88BD4	Phosphomannomutase/phosphoglucomutase	0.6296296296296297	A0A0P0WWN5	0.894			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.894	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Phosphomannomutase/phosphoglucomutase	FAMILY_LEVEL_FUNCTION	False
LITCHI005866	LITCHI005866.m1	633	f78fe3e847a29d62f1decadb5e9ed8f2	Q9C9W9	Adagio protein 3	0.9225908372827805	Q2R2W1	0.9			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9225908372827805	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Adagio protein 3	FAMILY_LEVEL_FUNCTION	False
LITCHI006337	LITCHI006337.m1	97	0e147b64303e0eb8e037a56123c460a5								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI006466	LITCHI006466.m2	294	6160951234a14109b10416dc969894c0	A0A1P8B554	Thaumatin-like protein 1	0.7993197278911565	Q10P75	0.895			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.895	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Thaumatin-like protein 1	FAMILY_LEVEL_FUNCTION	False
LITCHI006481	LITCHI006481.m1	199	fcf87716d2eb05835203245baab65c61								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI006703	LITCHI006703.m1	358	f84592d019bb07477fcec5cbd6032480	Q9LN68	Probable galacturonosyltransferase-like 1	0.9189944134078212					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9189944134078212	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable galacturonosyltransferase-like 1	FAMILY_LEVEL_FUNCTION	False
LITCHI006920	LITCHI006920.m1	196	ab64dc25ecd59b620706ac38b1b283ad	Q42551	SUMO-conjugating enzyme SCE1	1.0					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	SUMO-conjugating enzyme SCE1	FAMILY_LEVEL_FUNCTION	False
LITCHI006923	LITCHI006923.m1	666	cba798e7ca325bb9a9a962e63443cd11	Q93Y06	Probable inactive receptor kinase At5g67200	0.996996996996997	A0A0P0WFL8	0.928			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.996996996996997	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable inactive receptor kinase At5g67200	FAMILY_LEVEL_FUNCTION	False
LITCHI007095	LITCHI007095.m1	299	107cc1405500a8eb2851f9c676424be1	O81004	GTP-binding protein At2g22870	0.842809364548495	Q10PJ0	0.793			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.842809364548495	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	GTP-binding protein At2g22870	FAMILY_LEVEL_FUNCTION	False
LITCHI007293	LITCHI007293.m1	289	57964a81bc29fb709301e33dea77185a								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI007341	LITCHI007341.m1	96	211e4d7c3beea04e87810ec00134975b								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI007955	LITCHI007955.m1	183	641ddab50ff31f8968b1253b325a97f2	O65660	PLAT domain-containing protein 1	0.8415300546448088	Q6ZGP5	0.754			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.8415300546448088	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	PLAT domain-containing protein 1	FAMILY_LEVEL_FUNCTION	False
LITCHI008095	LITCHI008095.m1	662	74a41871a643815508ba30e05e5f3888	Q9LP77	Probable inactive receptor kinase At1g48480	0.9561933534743202					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9561933534743202	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable inactive receptor kinase At1g48480	FAMILY_LEVEL_FUNCTION	False
LITCHI008313	LITCHI008313.m1	516	bd3486a21b12c828e7e61d9b6781dfbf	Q9LV33	Beta-glucosidase 44	0.9186046511627907					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9186046511627907	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Beta-glucosidase 44	FAMILY_LEVEL_FUNCTION	False
LITCHI008330	LITCHI008330.m1	142	0e6e6c081fd7ca6a336f5ecaad4c0700								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI008721	LITCHI008721.m1	136	be3eff7e2d97fb61b26cdeb15af35038								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI008817	LITCHI008817.m1	562	b14f625120e37bc27c9a66967ea50fdc	Q9SS43	Xylan glycosyltransferase MUCI21	0.7686832740213523	Q5VNI5	0.776			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.776	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Xylan glycosyltransferase MUCI21	FAMILY_LEVEL_FUNCTION	False
