gene_id	canonical_transcript_id	protein_md5	protein_length	found	match_count	sources	pfam_accessions	interpro_accessions	architecture_union_coverage	interpro_status
LITCHI000271	LITCHI000271.m1	31c7b25813d2b18d2cadf27f3cc3bc59	442	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI001129	LITCHI001129.m2	7596de9a54cd22c23274c36eceb0de5a	663	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI001375	LITCHI001375.m1	e4c506badfb2caa9d09543ec74603d25	417	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI001603	LITCHI001603.m3	d6d6a7c83f9aea86d807a6daa9a14b26	820	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI001700	LITCHI001700.m1	c32dca2511fe981d2d2208bbf9549e74	277	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI001879	LITCHI001879.m1	beb9fb497ec4f93bd20e5e0745fe172e	951	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI001963	LITCHI001963.m1	01f67f80eb98662b7ac904808959e321	126	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI001999	LITCHI001999.m1	79894d9b7b7bc9345f21d1e2b12345b4	161	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI002015	LITCHI002015.m1	7750ed387e46eeccf367280fe5f9d1ff	648	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI002040	LITCHI002040.m1	625e36cc8f898a4c7f897eda993897d3	281	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI002263	LITCHI002263.m1	e1cc6de57ed38904d8db7c1e897d64c2	86	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI002571	LITCHI002571.m1	836ce6a3dea0a0eb910d9e9d3d270343	186	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
LITCHI003414	LITCHI003414.m1	bc5ba388341ad889d3b1fd6e547336b4	477	False	0				0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN
