gene_id	canonical_transcript_id	protein_length	protein_md5	selection_rule
LITCHI000271	LITCHI000271.m1	442	31c7b25813d2b18d2cadf27f3cc3bc59	longest_CDS_then_lexicographic_transcript_ID
LITCHI001129	LITCHI001129.m2	663	7596de9a54cd22c23274c36eceb0de5a	longest_CDS_then_lexicographic_transcript_ID
LITCHI001375	LITCHI001375.m1	417	e4c506badfb2caa9d09543ec74603d25	longest_CDS_then_lexicographic_transcript_ID
LITCHI001603	LITCHI001603.m3	820	d6d6a7c83f9aea86d807a6daa9a14b26	longest_CDS_then_lexicographic_transcript_ID
LITCHI001700	LITCHI001700.m1	277	c32dca2511fe981d2d2208bbf9549e74	longest_CDS_then_lexicographic_transcript_ID
LITCHI001879	LITCHI001879.m1	951	beb9fb497ec4f93bd20e5e0745fe172e	longest_CDS_then_lexicographic_transcript_ID
LITCHI001963	LITCHI001963.m1	126	01f67f80eb98662b7ac904808959e321	longest_CDS_then_lexicographic_transcript_ID
LITCHI001999	LITCHI001999.m1	161	79894d9b7b7bc9345f21d1e2b12345b4	longest_CDS_then_lexicographic_transcript_ID
LITCHI002015	LITCHI002015.m1	648	7750ed387e46eeccf367280fe5f9d1ff	longest_CDS_then_lexicographic_transcript_ID
LITCHI002040	LITCHI002040.m1	281	625e36cc8f898a4c7f897eda993897d3	longest_CDS_then_lexicographic_transcript_ID
LITCHI002263	LITCHI002263.m1	86	e1cc6de57ed38904d8db7c1e897d64c2	longest_CDS_then_lexicographic_transcript_ID
LITCHI002571	LITCHI002571.m1	186	836ce6a3dea0a0eb910d9e9d3d270343	longest_CDS_then_lexicographic_transcript_ID
LITCHI003414	LITCHI003414.m1	477	bc5ba388341ad889d3b1fd6e547336b4	longest_CDS_then_lexicographic_transcript_ID
LITCHI003497	LITCHI003497.m1	887	42b78bf9c4601b1d47bd8292cc7f6b96	longest_CDS_then_lexicographic_transcript_ID
LITCHI003742	LITCHI003742.m1	708	c5ff78074f3ce3079e72163f815f28c4	longest_CDS_then_lexicographic_transcript_ID
LITCHI004207	LITCHI004207.m2	230	0c3a9e014ac5d22c6d51f3b710ddf54a	longest_CDS_then_lexicographic_transcript_ID
LITCHI004438	LITCHI004438.m1	431	13e7dd3ed8a3ea1ee9c72886fc6bc649	longest_CDS_then_lexicographic_transcript_ID
LITCHI004751	LITCHI004751.m2	376	1394520435427a030624ed16782c935a	longest_CDS_then_lexicographic_transcript_ID
LITCHI004929	LITCHI004929.m2	191	532b5178d15bbf57682cae17f47d7966	longest_CDS_then_lexicographic_transcript_ID
LITCHI005008	LITCHI005008.m1	152	4022e9164230bec675f400a82efc6bf8	longest_CDS_then_lexicographic_transcript_ID
LITCHI005012	LITCHI005012.m1	446	5c5c9ce82d5a6fcc3bdf2fa5e82a4a21	longest_CDS_then_lexicographic_transcript_ID
LITCHI005048	LITCHI005048.m1	1184	757f8fa79700c5a5367bc41e9322e896	longest_CDS_then_lexicographic_transcript_ID
LITCHI005234	LITCHI005234.m1	217	0220a0ff89c56b0424de9e0c64623e3c	longest_CDS_then_lexicographic_transcript_ID
LITCHI005254	LITCHI005254.m2	463	6d8079460197b7d5c7909f33cc3c2312	longest_CDS_then_lexicographic_transcript_ID
LITCHI005454	LITCHI005454.m1	103	6d307206b41886d4aa2c066c08ac5caa	longest_CDS_then_lexicographic_transcript_ID
LITCHI005518	LITCHI005518.m1	924	29c1bb685ab3240b222a858f5fbd579d	longest_CDS_then_lexicographic_transcript_ID
LITCHI005805	LITCHI005805.m1	594	fc59235c84a00f39be941484206191f8	longest_CDS_then_lexicographic_transcript_ID
LITCHI005866	LITCHI005866.m1	633	f78fe3e847a29d62f1decadb5e9ed8f2	longest_CDS_then_lexicographic_transcript_ID
LITCHI006337	LITCHI006337.m1	97	0e147b64303e0eb8e037a56123c460a5	longest_CDS_then_lexicographic_transcript_ID
LITCHI006466	LITCHI006466.m2	294	6160951234a14109b10416dc969894c0	longest_CDS_then_lexicographic_transcript_ID
LITCHI006481	LITCHI006481.m1	199	fcf87716d2eb05835203245baab65c61	longest_CDS_then_lexicographic_transcript_ID
LITCHI006703	LITCHI006703.m1	358	f84592d019bb07477fcec5cbd6032480	longest_CDS_then_lexicographic_transcript_ID
