gene_id	transcript_id	swissprot_accession	swissprot_description	percent_identity	alignment_length	query_length	subject_length	query_coverage	subject_coverage	evalue	bitscore	subject_id	subject_title
LITCHI028716	LITCHI028716.m1	Q8RXD4	Protein BREAST CANCER SUSCEPTIBILITY 1 homolog	37.5	1034	1626	941	0.6359163591635917	1.0988310308182785	4.57e-168	536	sp|Q8RXD4|BRCA1_ARATH	sp|Q8RXD4|BRCA1_ARATH Protein BREAST CANCER SUSCEPTIBILITY 1 homolog OS=Arabidopsis thaliana OX=3702 GN=BRCA1 PE=1 SV=1
LITCHI014480	LITCHI014480.m1	C6L7U1	Putative E3 ubiquitin-protein ligase LIN-1	25.9	842	1311	1485	0.6422578184591915	0.567003367003367	4.82e-76	281	sp|C6L7U1|LIN1_LOTJA	sp|C6L7U1|LIN1_LOTJA Putative E3 ubiquitin-protein ligase LIN-1 OS=Lotus japonicus OX=34305 GN=CERBERUS PE=2 SV=2
LITCHI014480	LITCHI014480.m1	D1FP57	Putative E3 ubiquitin-protein ligase LIN-2	25.8	842	1311	1485	0.6422578184591915	0.567003367003367	3.13e-72	269	sp|D1FP57|LIN2_LOTJA	sp|D1FP57|LIN2_LOTJA Putative E3 ubiquitin-protein ligase LIN-2 OS=Lotus japonicus OX=34305 GN=LIN PE=1 SV=1
LITCHI014480	LITCHI014480.m1	D1FP53	Putative E3 ubiquitin-protein ligase LIN	25.7	842	1311	1488	0.6422578184591915	0.5658602150537635	5.00e-70	262	sp|D1FP53|LIN_MEDTR	sp|D1FP53|LIN_MEDTR Putative E3 ubiquitin-protein ligase LIN OS=Medicago truncatula OX=3880 GN=LIN PE=2 SV=1
LITCHI019913	LITCHI019913.m1	F4KD38	DNA-directed RNA polymerase III subunit 2	67.1	848	1277	1161	0.6640563821456539	0.7304048234280792	0.0	1093	sp|F4KD38|NRPC2_ARATH	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
LITCHI019913	LITCHI019913.m1	Q10233	DNA-directed RNA polymerase III subunit RPC2	50.2	838	1277	1165	0.6562255285826155	0.7193133047210301	1.71e-262	781	sp|Q10233|RPC2_SCHPO	sp|Q10233|RPC2_SCHPO DNA-directed RNA polymerase III subunit RPC2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpc2 PE=2 SV=1
LITCHI019913	LITCHI019913.m1	Q9NW08	DNA-directed RNA polymerase III subunit RPC2	50.3	845	1277	1133	0.6617071260767423	0.7458075904677847	6.85e-259	770	sp|Q9NW08|RPC2_HUMAN	sp|Q9NW08|RPC2_HUMAN DNA-directed RNA polymerase III subunit RPC2 OS=Homo sapiens OX=9606 GN=POLR3B PE=1 SV=2
LITCHI019913	LITCHI019913.m1	P59470	DNA-directed RNA polymerase III subunit RPC2	50.3	845	1277	1133	0.6617071260767423	0.7458075904677847	2.71e-258	769	sp|P59470|RPC2_MOUSE	sp|P59470|RPC2_MOUSE DNA-directed RNA polymerase III subunit RPC2 OS=Mus musculus OX=10090 GN=Polr3b PE=1 SV=2
LITCHI019913	LITCHI019913.m1	P22276	DNA-directed RNA polymerase III subunit RPC2	49.0	863	1277	1149	0.6758026624902115	0.7510879025239339	3.33e-254	759	sp|P22276|RPC2_YEAST	sp|P22276|RPC2_YEAST DNA-directed RNA polymerase III subunit RPC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RET1 PE=1 SV=2
LITCHI023129	LITCHI023129.m1	F4HYJ7	DExH-box ATP-dependent RNA helicase DExH3	73.3	1191	1187	1197	1.0033698399326032	0.9949874686716792	0.0	1677	sp|F4HYJ7|DEXH3_ARATH	sp|F4HYJ7|DEXH3_ARATH DExH-box ATP-dependent RNA helicase DExH3 OS=Arabidopsis thaliana OX=3702 GN=At1g48650 PE=3 SV=1
LITCHI023129	LITCHI023129.m1	F4IM84	DExH-box ATP-dependent RNA helicase DExH5, mitochondrial	68.4	1091	1187	1113	0.9191238416175231	0.9802336028751123	0.0	1429	sp|F4IM84|DEXH5_ARATH	sp|F4IM84|DEXH5_ARATH DExH-box ATP-dependent RNA helicase DExH5, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g01130 PE=3 SV=1
LITCHI023129	LITCHI023129.m1	F4ILR7	DExH-box ATP-dependent RNA helicase DExH1	47.8	949	1187	995	0.7994945240101096	0.9537688442211055	3.15e-285	830	sp|F4ILR7|DEXH1_ARATH	sp|F4ILR7|DEXH1_ARATH DExH-box ATP-dependent RNA helicase DExH1 OS=Arabidopsis thaliana OX=3702 GN=At2g35920 PE=2 SV=1
LITCHI023129	LITCHI023129.m1	Q8VHK9	ATP-dependent DNA/RNA helicase DHX36	42.4	769	1187	1001	0.6478517270429655	0.7682317682317682	2.31e-193	593	sp|Q8VHK9|DHX36_MOUSE	sp|Q8VHK9|DHX36_MOUSE ATP-dependent DNA/RNA helicase DHX36 OS=Mus musculus OX=10090 GN=Dhx36 PE=1 SV=2
LITCHI023129	LITCHI023129.m1	D4A2Z8	ATP-dependent DNA/RNA helicase DHX36	42.4	783	1187	1000	0.6596461668070767	0.783	1.23e-192	591	sp|D4A2Z8|DHX36_RAT	sp|D4A2Z8|DHX36_RAT ATP-dependent DNA/RNA helicase DHX36 OS=Rattus norvegicus OX=10116 GN=Dhx36 PE=1 SV=1
LITCHI005048	LITCHI005048.m1	B9DFG3	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic	72.5	1090	1184	1171	0.9206081081081081	0.9308283518360376	0.0	1523	sp|B9DFG3|ISE2_ARATH	sp|B9DFG3|ISE2_ARATH DExH-box ATP-dependent RNA helicase DExH15 chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ISE2 PE=1 SV=2
LITCHI011520	LITCHI011520.m1	Q9SQI2	Protein GIGANTEA	77.3	1177	1171	1173	1.005123825789923	1.0034100596760442	0.0	1722	sp|Q9SQI2|GIGAN_ARATH	sp|Q9SQI2|GIGAN_ARATH Protein GIGANTEA OS=Arabidopsis thaliana OX=3702 GN=GI PE=1 SV=2
LITCHI011520	LITCHI011520.m1	Q9AWL7	Protein GIGANTEA	71.9	1176	1171	1160	1.004269854824936	1.013793103448276	0.0	1597	sp|Q9AWL7|GIGAN_ORYSJ	sp|Q9AWL7|GIGAN_ORYSJ Protein GIGANTEA OS=Oryza sativa subsp. japonica OX=39947 GN=GI PE=2 SV=2
LITCHI021546	LITCHI021546.m2	F4JRF5	Homeobox-DDT domain protein RLT3	54.7	1177	1163	1131	1.0120378331900257	1.0406719717064545	0.0	1111	sp|F4JRF5|RLT3_ARATH	sp|F4JRF5|RLT3_ARATH Homeobox-DDT domain protein RLT3 OS=Arabidopsis thaliana OX=3702 GN=RLT3 PE=3 SV=1
LITCHI021546	LITCHI021546.m2	F4HY56	Homeobox-DDT domain protein RLT1	27.4	983	1163	1705	0.8452278589853827	0.5765395894428152	8.00e-72	267	sp|F4HY56|RLT1_ARATH	sp|F4HY56|RLT1_ARATH Homeobox-DDT domain protein RLT1 OS=Arabidopsis thaliana OX=3702 GN=RLT1 PE=1 SV=1
LITCHI021546	LITCHI021546.m2	Q9FFH1	Homeobox-DDT domain protein RLT2	25.8	978	1163	1694	0.8409286328460877	0.577331759149941	3.74e-61	233	sp|Q9FFH1|RLT2_ARATH	sp|Q9FFH1|RLT2_ARATH Homeobox-DDT domain protein RLT2 OS=Arabidopsis thaliana OX=3702 GN=RLT2 PE=1 SV=1
LITCHI019897	LITCHI019897.m2	Q9LET7	Calmodulin-interacting protein 111	60.0	1032	1076	1022	0.9591078066914498	1.009784735812133	0.0	1051	sp|Q9LET7|CI111_ARATH	sp|Q9LET7|CI111_ARATH Calmodulin-interacting protein 111 OS=Arabidopsis thaliana OX=3702 GN=CIP111 PE=1 SV=1
LITCHI019897	LITCHI019897.m2	Q8NB90	ATPase family gene 2 protein homolog A	44.2	593	1076	893	0.5511152416356877	0.6640537513997761	2.66e-151	476	sp|Q8NB90|AFG2A_HUMAN	sp|Q8NB90|AFG2A_HUMAN ATPase family gene 2 protein homolog A OS=Homo sapiens OX=9606 GN=AFG2A PE=1 SV=3
LITCHI019897	LITCHI019897.m2	O28972	Cell division cycle protein 48 homolog AF_1297	44.1	623	1076	733	0.578996282527881	0.849931787175989	1.26e-150	469	sp|O28972|Y1297_ARCFU	sp|O28972|Y1297_ARCFU Cell division cycle protein 48 homolog AF_1297 OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=AF_1297 PE=3 SV=1
LITCHI019897	LITCHI019897.m2	Q3UMC0	ATPase family gene 2 protein homolog A	42.3	629	1076	893	0.5845724907063197	0.7043673012318029	1.53e-149	472	sp|Q3UMC0|AFG2A_MOUSE	sp|Q3UMC0|AFG2A_MOUSE ATPase family gene 2 protein homolog A OS=Mus musculus OX=10090 GN=Afg2a PE=1 SV=2
LITCHI019897	LITCHI019897.m2	Q58556	Cell division cycle protein 48 homolog MJ1156	46.1	571	1076	903	0.5306691449814126	0.6323366555924695	1.51e-148	469	sp|Q58556|Y1156_METJA	sp|Q58556|Y1156_METJA Cell division cycle protein 48 homolog MJ1156 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1156 PE=3 SV=1
LITCHI030349	LITCHI030349.m3	P0C8S1	Probable disease resistance RPP8-like protein 2	31.3	786	1002	906	0.7844311377245509	0.8675496688741722	1.19e-64	239	sp|P0C8S1|RP8L2_ARATH	sp|P0C8S1|RP8L2_ARATH Probable disease resistance RPP8-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=RPP8L2 PE=3 SV=1
LITCHI030349	LITCHI030349.m3	Q9FJB5	Disease resistance RPP8-like protein 3	28.7	807	1002	901	0.8053892215568862	0.8956714761376249	3.82e-61	228	sp|Q9FJB5|RP8L3_ARATH	sp|Q9FJB5|RP8L3_ARATH Disease resistance RPP8-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=RPP8L3 PE=2 SV=1
LITCHI030349	LITCHI030349.m3	Q9XIF0	Putative disease resistance protein At1g59780	28.0	811	1002	906	0.8093812375249501	0.8951434878587197	7.30e-61	228	sp|Q9XIF0|DRL13_ARATH	sp|Q9XIF0|DRL13_ARATH Putative disease resistance protein At1g59780 OS=Arabidopsis thaliana OX=3702 GN=At1g59780 PE=3 SV=1
