gene_id	canonical_transcript_id	protein_length	protein_md5	selection_rule	swissprot_accession	swissprot_description	swissprot_percent_identity	swissprot_query_coverage	swissprot_subject_coverage	swissprot_evalue	rice_ortholog_accession	rice_query_coverage	rice_subject_coverage	sequence_evidence_classes_70pct	interpro_status	architecture_conflict	annotation_status
LITCHI000271	LITCHI000271.m1	442	31c7b25813d2b18d2cadf27f3cc3bc59	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI001129	LITCHI001129.m2	663	7596de9a54cd22c23274c36eceb0de5a	longest_CDS_then_lexicographic_transcript_ID	A7HYV8	GTPase Der	37.7	0.7767722473604827	1.0887949260042282	1.45e-85				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI001375	LITCHI001375.m1	417	e4c506badfb2caa9d09543ec74603d25	longest_CDS_then_lexicographic_transcript_ID	F4HVM3	WAT1-related protein At1g68170	42.4	0.8033573141486811	0.9410112359550562	1.30e-80				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI001603	LITCHI001603.m3	820	d6d6a7c83f9aea86d807a6daa9a14b26	longest_CDS_then_lexicographic_transcript_ID	O81767	Pentatricopeptide repeat-containing protein At4g33990	62.4	0.9914634146341463	0.9878493317132442	0.0	A0A0P0VZ90	0.785000	0.947000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI001700	LITCHI001700.m1	277	c32dca2511fe981d2d2208bbf9549e74	longest_CDS_then_lexicographic_transcript_ID	P0DXK7	Fe(II)/2-oxoglutarate-dependent dioxygenase 4	35.0	1.0108303249097472	0.775623268698061	3.48e-49				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI001879	LITCHI001879.m1	951	beb9fb497ec4f93bd20e5e0745fe172e	longest_CDS_then_lexicographic_transcript_ID	Q9NW13	RNA-binding protein 28	33.4	0.7749737118822292	0.9710144927536232	1.61e-64	Q10BX7	0.775000	0.786000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI001963	LITCHI001963.m1	126	01f67f80eb98662b7ac904808959e321	longest_CDS_then_lexicographic_transcript_ID							Q10P23	0.984000	0.985000	1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI001999	LITCHI001999.m1	161	79894d9b7b7bc9345f21d1e2b12345b4	longest_CDS_then_lexicographic_transcript_ID	Q9FYB5	Chaperone protein dnaJ 11, chloroplastic	52.0	0.6335403726708074	0.6335403726708074	1.35e-26				0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI002015	LITCHI002015.m1	648	7750ed387e46eeccf367280fe5f9d1ff	longest_CDS_then_lexicographic_transcript_ID	Q9SVP7	Pentatricopeptide repeat-containing protein At4g13650	32.7	0.9429012345679012	0.5742481203007519	4.21e-107	Q5N7W0	0.914000	0.831000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI002040	LITCHI002040.m1	281	625e36cc8f898a4c7f897eda993897d3	longest_CDS_then_lexicographic_transcript_ID	P93004	Aquaporin PIP2-7	87.9	1.0	1.0035714285714286	2.36e-181	Q7XLR1	1.000000	1.000000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
