.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
HI_48hpi_1_R1	1	0.25	1	0.25	1	0.25	0.5	0.25	1	1
HI_48hpi_1_R2	1	1	1	0.25	0.5	1	0.5	0.25	1	1
HI_48hpi_2_R1	1	0.25	1	0.25	1	0.25	0.5	0.5	1	1
HI_48hpi_2_R2	1	1	1	0.25	1	1	0.5	0.5	1	1
HI_48hpi_3_R1	1	0.5	1	0.25	1	0.25	0.5	0.25	1	1
HI_48hpi_3_R2	1	1	1	0.25	0.5	1	0.5	0.25	1	1
HI_6hpi_1_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
HI_6hpi_1_R2	1	0.25	1	0.25	0.5	0.25	0.5	0.25	0.5	1
HI_6hpi_2_R1	1	1	1	0.25	1	1	0.5	0.25	1	1
HI_6hpi_2_R2	1	0.25	1	0.25	1	0.25	0.5	0.25	1	1
HI_6hpi_3_R1	1	0.5	1	0.25	1	0.25	0.5	0.5	1	1
HI_6hpi_3_R2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
