software	version	evidence	status
STAR	2.7.10b	executable --version; resolved environment	verified installed
Salmon	2.5.1	executable --version; resolved environment	verified installed
fastp	1.3.6	executable --version; resolved environment	verified installed
FastQC	0.12.1	analysis/envs/lychee-discovery-resolved.yml	verified resolved environment
MultiQC	1.35	analysis/envs/lychee-discovery-resolved.yml	verified resolved environment
featureCounts (Subread)	2.1.1	executable -v; resolved environment	verified installed
DESeq2	1.42.0	results/discovery/primary/R_sessionInfo.txt	verified executed
edgeR	4.0.16	results/discovery/dtu/dtu_sessionInfo.txt; resolved environment	verified executed
DRIMSeq	1.30.0	results/discovery/dtu/dtu_sessionInfo.txt	verified executed
DEXSeq	1.48.0	results/discovery/dtu/dtu_sessionInfo.txt	verified executed
stageR	1.24.0	results/discovery/dtu/dtu_sessionInfo.txt	verified executed
apeglm	1.24.0	results/discovery/primary/R_sessionInfo.txt	verified executed
MEME Suite (AME/FIMO)	5.5.9	executable -version; resolved environment	verified installed
DIAMOND	2.2.5	executable version; resolved environment	verified installed
GenMap	1.3.0	analysis/envs/lychee-discovery.yml	pinned specification; executable absent from reconstructed environment
Snakemake	9.25.2	executable --version; resolved environment	verified installed
R	4.3.3	R --version; R sessionInfo files	verified executed
Bioconductor	3.18	R 4.3 package series and BiocManager version	verified environment
BiocParallel	1.36.0	results/discovery/primary/R_sessionInfo.txt	verified executed
