gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	union_exon_bases	scored_exonic_bases	unique_exonic_bases	fraction_exonic_bases_scored	fraction_unique_mappability	mappability_status	overlapping_gene_count	overlapping_genes	unique_gene_model_status	uniform_gene_qc_status	primary_gene_status	composite_null_log2fc	composite_null_lfc_se	composite_null_p	composite_null_q	composite_null_pass	apeglm_threshold_log2fc	apeglm_threshold_lfc_se	apeglm_fsos_svalue	apeglm_fsos_svalue_lt_0_05
LITCHI008721	835.697519395944	-1.91058272270929	0.245902825478273	-7.76966559450171	7.86936029320512e-15	7.86851905355691e-11	-7.76966559450171	-1.84138938011684	TRUE	2552	2552	2552	1	1	PASS	0		PASS	PASS	DISCOVERED	-1.91058272270929	0.245902825478273	7.01331669879163e-08	0.00111262741953492	TRUE	-1.84138938010364	0.25021767161431	2.56567186163181e-07	TRUE
LITCHI029455	349.617726596391	-1.78037134571311	0.229248689468255	-7.76611351560049	8.09310265215419e-15	7.86851905355691e-11	-7.76611351560049	-1.72019434523747	TRUE	7065	7065	6952	1	0.98400566	PASS	1	LITCHI029454	FAIL	FAIL	RETIRED_GENE_MODEL_AMBIGUITY	-1.78037134571312	0.229248689468254	1.8435033715753e-07	0.00111262741953492	TRUE	-1.72019434523696	0.233179375069676	4.0941675194528e-07	TRUE
LITCHI005805	414.369536849077	2.07255591145601	0.303473667985133	6.82944232103042	8.5245361279684e-12	5.52532016694485e-08	6.82944232103042	1.98215378859914	TRUE	2410	2410	2410	1	1	PASS	0		PASS	PASS	DISCOVERED	2.07255591145601	0.303473667985133	9.49207803437143e-07	0.00307622428963921	TRUE	1.98215378860265	0.310430281155525	1.2824455944944e-06	TRUE
LITCHI015740	358.63472289338	-1.96299486758937	0.293797466454524	-6.68145607679435	2.36579690309512e-11	1.15007301951712e-07	-6.68145607679435	-1.87322869807968	TRUE	1261	1261	1261	1	1	PASS	0		PASS	PASS	DISCOVERED	-1.96299486758937	0.293797466454524	2.72650011974946e-06	0.00662709935356603	TRUE	-1.87322869807853	0.300798304106098	3.01682962320511e-06	TRUE
LITCHI010877	250.398804803804	-2.77434466350923	0.423133579574518	-6.55666389393858	5.50248397124492e-11	2.13991601641715e-07	-6.55666389393858	-2.64100191381313	TRUE	2475	2475	2475	1	1	PASS	0		PASS	PASS	DISCOVERED	-2.77434466350923	0.423133579574515	2.28876815538167e-07	0.00111262741953492	TRUE	-2.64100191382986	0.433705014577287	6.28017842692804e-07	TRUE
LITCHI009437	970.725814938524	1.03949061099977	0.159872750542737	6.50198740855402	7.92657367482099e-11	2.56887041844824e-07	6.50198740855402	0.990859021685459	TRUE	1431	1431	1431	1	1	PASS	0		PASS	PASS	DISCOVERED	1.03949061099978	0.159872750542726	0.00446824051778728	1	FALSE	0.990859021682237	0.163486413528411	0.00197569701750176	TRUE
LITCHI009986	1454.28086457791	0.984607140137177	0.153416309295172	6.41787789486449	1.38187018675689e-10	3.83863796878395e-07	6.41787789486449	0.937292849406453	TRUE	5425	5425	253	1	0.04663594	FAIL	1	LITCHI009985	FAIL	FAIL	RETIRED_MAPPING_FAILURE	0.984607140137181	0.153416309295172	0.00918827308577219	1	FALSE	0.937292849405291	0.156943836873176	0.00397691912129764	TRUE
LITCHI023626	1080.56343758062	-1.40847760833401	0.221948011329959	-6.34597985309312	2.21014159189311e-10	5.3720254067952e-07	-6.34597985309312	-1.33735416055161	TRUE	1163	1163	1163	1	1	PASS	0		PASS	PASS	DISCOVERED	-1.40847760833401	0.221948011329944	0.000206934949085994	0.251490630311072	FALSE	-1.33735416055054	0.227745207601655	0.000126452943947848	TRUE
LITCHI015982	87.7673876559649	3.42612366371821	0.546401419425672	6.2703418071634	3.60256391776514e-10	7.78353948677146e-07	6.2703418071634	3.24129495890425	TRUE	5419	5419	5419	1	1	PASS	0		PASS	PASS	DISCOVERED	3.42612366371821	0.546401419425672	1.99536353587712e-07	0.00111262741953492	TRUE	3.24129495886595	0.562039928491582	7.56915366215272e-07	TRUE
LITCHI029642	186.550061447991	1.56693704690943	0.25601682306565	6.12044563379191	9.33140171419192e-10	1.81449106332462e-06	6.12044563379191	1.48190338684563	TRUE	5209	5209	5209	1	1	PASS	1	LITCHI029643	FAIL	FAIL	RETIRED_GENE_MODEL_AMBIGUITY	1.56693704690943	0.256016823065645	0.000125265255600021	0.221434808649309	FALSE	1.48190338684602	0.263261955021481	3.98902212379531e-05	TRUE
