window_bp	replicate	candidate_gene_id	background_gene_id	candidate_expression_bin	background_expression_bin	candidate_gc_bin	background_gc_bin	manhattan_bin_distance
1000	1	LITCHI000113	LITCHI026149	1	1	4	4	0
1000	1	LITCHI000429	LITCHI017782	3	3	3	3	0
1000	1	LITCHI000477	LITCHI022054	2	2	4	4	0
1000	1	LITCHI000484	LITCHI020779	2	2	5	5	0
1000	1	LITCHI000485	LITCHI015468	3	3	5	5	0
1000	1	LITCHI000487	LITCHI021904	3	3	5	5	0
1000	1	LITCHI000600	LITCHI006594	3	3	4	4	0
1000	1	LITCHI000698	LITCHI008932	2	2	3	3	0
1000	1	LITCHI001292	LITCHI010100	1	1	2	2	0
1000	1	LITCHI001564	LITCHI028500	3	3	3	3	0
1000	1	LITCHI001586	LITCHI005569	5	5	1	1	0
1000	1	LITCHI001700	LITCHI026668	5	5	4	4	0
1000	1	LITCHI001720	LITCHI007451	2	2	4	4	0
1000	1	LITCHI001740	LITCHI013898	3	3	5	5	0
1000	1	LITCHI001907	LITCHI024181	5	5	2	2	0
1000	1	LITCHI001963	LITCHI005562	3	3	1	1	0
1000	1	LITCHI002037	LITCHI021646	3	3	5	5	0
1000	1	LITCHI002054	LITCHI009771	4	4	5	5	0
1000	1	LITCHI002106	LITCHI018320	4	4	1	1	0
1000	1	LITCHI002257	LITCHI027273	5	5	3	3	0
1000	1	LITCHI002320	LITCHI014731	4	4	3	3	0
1000	1	LITCHI002792	LITCHI002028	3	3	2	2	0
1000	1	LITCHI002968	LITCHI025456	2	2	3	3	0
1000	1	LITCHI003043	LITCHI007509	1	1	4	4	0
1000	1	LITCHI003044	LITCHI019249	2	2	5	5	0
1000	1	LITCHI003307	LITCHI023674	3	3	4	4	0
1000	1	LITCHI003370	LITCHI013322	3	3	1	1	0
1000	1	LITCHI003383	LITCHI023480	5	5	1	1	0
1000	1	LITCHI003388	LITCHI020961	5	5	2	2	0
1000	1	LITCHI003396	LITCHI031317	5	5	4	4	0
1000	1	LITCHI003441	LITCHI015384	2	2	1	1	0
1000	1	LITCHI003595	LITCHI008106	3	3	1	1	0
1000	1	LITCHI003607	LITCHI022752	5	5	3	3	0
1000	1	LITCHI003679	LITCHI026570	4	4	4	4	0
1000	1	LITCHI003689	LITCHI002997	4	4	3	3	0
1000	1	LITCHI003717	LITCHI028392	4	4	5	5	0
1000	1	LITCHI003760	LITCHI001087	3	3	2	2	0
1000	1	LITCHI003790	LITCHI018048	5	5	1	1	0
1000	1	LITCHI003915	LITCHI006568	4	4	1	1	0
1000	1	LITCHI003959	LITCHI027563	5	5	1	1	0
1000	1	LITCHI003963	LITCHI004207	2	2	3	3	0
1000	1	LITCHI003969	LITCHI024840	5	5	1	1	0
1000	1	LITCHI004148	LITCHI007786	2	2	2	2	0
1000	1	LITCHI004175	LITCHI009095	4	4	1	1	0
1000	1	LITCHI004176	LITCHI011465	3	3	4	4	0
1000	1	LITCHI004252	LITCHI016968	4	4	2	2	0
1000	1	LITCHI004269	LITCHI005678	3	3	5	5	0
1000	1	LITCHI004270	LITCHI012395	3	3	3	3	0
1000	1	LITCHI004342	LITCHI008379	2	2	1	1	0
1000	1	LITCHI004353	LITCHI002177	5	5	2	2	0
1000	1	LITCHI004354	LITCHI006691	5	5	4	4	0
1000	1	LITCHI004419	LITCHI012431	3	3	2	2	0
1000	1	LITCHI004561	LITCHI005825	2	2	1	1	0
1000	1	LITCHI004615	LITCHI020204	4	4	1	1	0
1000	1	LITCHI004785	LITCHI024453	4	4	4	4	0
1000	1	LITCHI004913	LITCHI011224	4	4	4	4	0
1000	1	LITCHI004951	LITCHI005507	4	4	4	4	0
1000	1	LITCHI005027	LITCHI029166	5	5	5	5	0
1000	1	LITCHI005164	LITCHI009394	4	4	1	1	0
1000	1	LITCHI005223	LITCHI009997	4	4	5	5	0
1000	1	LITCHI005329	LITCHI011994	2	2	2	2	0
1000	1	LITCHI005480	LITCHI027412	4	4	4	4	0
1000	1	LITCHI005487	LITCHI005411	2	2	1	1	0
1000	1	LITCHI005503	LITCHI013204	3	3	1	1	0
1000	1	LITCHI005518	LITCHI023828	5	5	4	4	0
1000	1	LITCHI005578	LITCHI010693	4	4	3	3	0
1000	1	LITCHI005661	LITCHI021876	4	4	4	4	0
1000	1	LITCHI005733	LITCHI022309	3	3	4	4	0
1000	1	LITCHI005742	LITCHI021992	5	5	2	2	0
1000	1	LITCHI005838	LITCHI027947	3	3	1	1	0
1000	1	LITCHI005897	LITCHI030121	3	3	2	2	0
1000	1	LITCHI005930	LITCHI030013	1	1	1	1	0
1000	1	LITCHI005940	LITCHI005813	3	3	5	5	0
1000	1	LITCHI005980	LITCHI007244	5	5	4	4	0
1000	1	LITCHI006075	LITCHI019237	3	3	2	2	0
1000	1	LITCHI006325	LITCHI021979	5	5	3	3	0
1000	1	LITCHI006361	LITCHI020325	3	3	3	3	0
1000	1	LITCHI006468	LITCHI002934	5	5	2	2	0
1000	1	LITCHI006597	LITCHI018211	4	4	5	5	0
1000	1	LITCHI006733	LITCHI017700	5	5	4	4	0
1000	1	LITCHI006889	LITCHI027840	2	2	3	3	0
1000	1	LITCHI006896	LITCHI005038	1	1	2	2	0
1000	1	LITCHI006931	LITCHI031061	5	5	1	1	0
1000	1	LITCHI006951	LITCHI001930	4	4	1	1	0
1000	1	LITCHI006954	LITCHI024943	3	3	3	3	0
1000	1	LITCHI006962	LITCHI012897	5	5	2	2	0
1000	1	LITCHI007091	LITCHI018872	2	2	3	3	0
1000	1	LITCHI007169	LITCHI006123	1	1	5	5	0
1000	1	LITCHI007195	LITCHI011632	4	4	1	1	0
1000	1	LITCHI007215	LITCHI023385	3	3	3	3	0
1000	1	LITCHI007459	LITCHI011084	1	1	5	5	0
1000	1	LITCHI007647	LITCHI024477	4	4	1	1	0
1000	1	LITCHI007692	LITCHI024592	5	5	1	1	0
1000	1	LITCHI007923	LITCHI003912	5	5	5	5	0
1000	1	LITCHI007954	LITCHI021073	1	1	3	3	0
1000	1	LITCHI008053	LITCHI017191	3	3	2	2	0
1000	1	LITCHI008116	LITCHI012409	4	4	3	3	0
1000	1	LITCHI008251	LITCHI001438	2	2	2	2	0
1000	1	LITCHI008313	LITCHI027257	2	2	3	3	0
1000	1	LITCHI008323	LITCHI027378	2	2	4	4	0
1000	1	LITCHI008324	LITCHI018099	3	3	3	3	0
1000	1	LITCHI008481	LITCHI027277	5	5	1	1	0
1000	1	LITCHI008540	LITCHI015003	3	3	2	2	0
1000	1	LITCHI008665	LITCHI010223	3	3	2	2	0
1000	1	LITCHI008680	LITCHI007780	4	4	2	2	0
1000	1	LITCHI008794	LITCHI001328	5	5	3	3	0
1000	1	LITCHI008825	LITCHI008189	4	4	2	2	0
1000	1	LITCHI009008	LITCHI019895	1	1	5	5	0
1000	1	LITCHI009073	LITCHI026042	3	3	2	2	0
1000	1	LITCHI009126	LITCHI010079	5	5	2	2	0
1000	1	LITCHI009142	LITCHI029327	3	3	5	5	0
1000	1	LITCHI009341	LITCHI017055	3	3	5	5	0
1000	1	LITCHI009348	LITCHI010915	5	5	5	5	0
1000	1	LITCHI009350	LITCHI019638	4	4	5	5	0
1000	1	LITCHI009353	LITCHI008940	5	5	4	4	0
1000	1	LITCHI009467	LITCHI027371	3	3	5	5	0
1000	1	LITCHI009699	LITCHI023822	2	2	1	1	0
1000	1	LITCHI009710	LITCHI020561	3	3	5	5	0
1000	1	LITCHI009711	LITCHI028763	5	5	4	4	0
1000	1	LITCHI009755	LITCHI017333	3	3	2	2	0
1000	1	LITCHI009827	LITCHI021336	4	4	3	3	0
1000	1	LITCHI009937	LITCHI016202	5	5	1	1	0
1000	1	LITCHI010045	LITCHI003592	3	3	4	4	0
1000	1	LITCHI010048	LITCHI013318	4	4	5	5	0
1000	1	LITCHI010247	LITCHI010602	5	5	2	2	0
1000	1	LITCHI010280	LITCHI028889	1	1	4	4	0
1000	1	LITCHI010370	LITCHI027337	5	5	2	2	0
1000	1	LITCHI010540	LITCHI014444	5	5	4	4	0
1000	1	LITCHI010548	LITCHI006321	5	5	1	1	0
1000	1	LITCHI010569	LITCHI017797	4	4	4	4	0
1000	1	LITCHI010675	LITCHI003610	1	1	4	4	0
1000	1	LITCHI010839	LITCHI017879	5	5	1	1	0
1000	1	LITCHI010862	LITCHI009097	5	5	3	3	0
1000	1	LITCHI010900	LITCHI004152	4	4	5	5	0
1000	1	LITCHI010945	LITCHI022198	2	2	5	5	0
1000	1	LITCHI011033	LITCHI009443	3	3	3	3	0
1000	1	LITCHI011075	LITCHI009029	2	2	5	5	0
1000	1	LITCHI011142	LITCHI005201	3	3	4	4	0
1000	1	LITCHI011244	LITCHI009743	2	2	5	5	0
1000	1	LITCHI011273	LITCHI001011	3	3	1	1	0
1000	1	LITCHI011349	LITCHI009678	4	4	2	2	0
1000	1	LITCHI011380	LITCHI027413	3	3	3	3	0
1000	1	LITCHI011490	LITCHI015814	5	5	1	1	0
1000	1	LITCHI011750	LITCHI024406	2	2	5	5	0
1000	1	LITCHI011826	LITCHI005720	4	4	3	3	0
1000	1	LITCHI012315	LITCHI024874	2	2	3	3	0
1000	1	LITCHI012388	LITCHI005939	5	5	1	1	0
1000	1	LITCHI012392	LITCHI014622	3	3	3	3	0
1000	1	LITCHI012463	LITCHI007670	3	3	3	3	0
1000	1	LITCHI012558	LITCHI025661	5	5	4	4	0
1000	1	LITCHI012577	LITCHI013925	3	3	4	4	0
1000	1	LITCHI012621	LITCHI008525	3	3	1	1	0
1000	1	LITCHI012746	LITCHI022636	5	5	4	4	0
1000	1	LITCHI013117	LITCHI005602	1	1	1	1	0
1000	1	LITCHI013195	LITCHI008249	2	2	3	3	0
1000	1	LITCHI013258	LITCHI010335	5	5	5	5	0
1000	1	LITCHI013278	LITCHI010275	3	3	2	2	0
1000	1	LITCHI013501	LITCHI027044	3	3	2	2	0
1000	1	LITCHI013515	LITCHI016601	4	4	2	2	0
1000	1	LITCHI013911	LITCHI006824	4	4	1	1	0
1000	1	LITCHI014370	LITCHI018070	2	2	2	2	0
1000	1	LITCHI014409	LITCHI005978	1	1	2	2	0
1000	1	LITCHI014536	LITCHI019095	2	2	3	3	0
1000	1	LITCHI014631	LITCHI026944	2	2	2	2	0
1000	1	LITCHI014755	LITCHI023181	4	4	1	1	0
1000	1	LITCHI014829	LITCHI006606	3	3	5	5	0
1000	1	LITCHI014864	LITCHI019526	2	2	4	4	0
1000	1	LITCHI014901	LITCHI030800	3	3	4	4	0
1000	1	LITCHI014978	LITCHI017409	5	5	2	2	0
1000	1	LITCHI015086	LITCHI016203	2	2	4	4	0
1000	1	LITCHI015122	LITCHI018331	3	3	2	2	0
1000	1	LITCHI015333	LITCHI025255	4	4	5	5	0
1000	1	LITCHI015336	LITCHI018511	2	2	4	4	0
1000	1	LITCHI015376	LITCHI024748	4	4	4	4	0
1000	1	LITCHI015377	LITCHI026829	3	3	5	5	0
1000	1	LITCHI015508	LITCHI009330	5	5	1	1	0
1000	1	LITCHI015531	LITCHI015970	2	2	2	2	0
1000	1	LITCHI015548	LITCHI018095	4	4	2	2	0
1000	1	LITCHI015963	LITCHI006870	3	3	3	3	0
1000	1	LITCHI015971	LITCHI006298	3	3	3	3	0
1000	1	LITCHI016018	LITCHI002013	3	3	1	1	0
1000	1	LITCHI016216	LITCHI016375	2	2	2	2	0
1000	1	LITCHI016296	LITCHI012808	2	2	4	4	0
1000	1	LITCHI016360	LITCHI019066	2	2	2	2	0
1000	1	LITCHI016365	LITCHI023928	1	1	3	3	0
1000	1	LITCHI016611	LITCHI008367	5	5	1	1	0
1000	1	LITCHI016642	LITCHI015951	3	3	2	2	0
1000	1	LITCHI016685	LITCHI031887	4	4	5	5	0
1000	1	LITCHI016839	LITCHI015369	2	2	4	4	0
1000	1	LITCHI016859	LITCHI006096	4	4	3	3	0
1000	1	LITCHI016977	LITCHI022273	5	5	3	3	0
1000	1	LITCHI017049	LITCHI002906	3	3	1	1	0
1000	1	LITCHI017106	LITCHI006339	2	2	2	2	0
1000	1	LITCHI017126	LITCHI001388	5	5	1	1	0
1000	1	LITCHI017190	LITCHI001490	3	3	2	2	0
1000	1	LITCHI017389	LITCHI029749	2	2	5	5	0
1000	1	LITCHI017520	LITCHI027877	3	3	4	4	0
1000	1	LITCHI017545	LITCHI029229	4	4	5	5	0
1000	1	LITCHI017551	LITCHI010202	3	3	3	3	0
1000	1	LITCHI017609	LITCHI011559	2	2	1	1	0
1000	1	LITCHI017676	LITCHI030632	5	5	3	3	0
1000	1	LITCHI017913	LITCHI009197	4	4	4	4	0
1000	1	LITCHI018075	LITCHI028781	2	2	4	4	0
1000	1	LITCHI018147	LITCHI006850	4	4	2	2	0
1000	1	LITCHI018219	LITCHI011905	3	3	2	2	0
1000	1	LITCHI018281	LITCHI017405	4	4	1	1	0
1000	1	LITCHI018353	LITCHI020543	5	5	4	4	0
1000	1	LITCHI018359	LITCHI016907	5	5	3	3	0
1000	1	LITCHI018600	LITCHI002554	5	5	1	1	0
1000	1	LITCHI018602	LITCHI004990	5	5	4	4	0
1000	1	LITCHI018616	LITCHI009847	3	3	3	3	0
1000	1	LITCHI018664	LITCHI020134	4	4	5	5	0
1000	1	LITCHI018672	LITCHI014138	3	3	1	1	0
1000	1	LITCHI018759	LITCHI025559	2	2	4	4	0
1000	1	LITCHI018804	LITCHI022834	5	5	2	2	0
1000	1	LITCHI018831	LITCHI001894	3	3	4	4	0
1000	1	LITCHI018863	LITCHI007271	4	4	2	2	0
1000	1	LITCHI018926	LITCHI001200	3	3	2	2	0
1000	1	LITCHI019061	LITCHI025749	3	3	5	5	0
1000	1	LITCHI019196	LITCHI030871	4	4	1	1	0
1000	1	LITCHI019253	LITCHI027047	5	5	1	1	0
1000	1	LITCHI019308	LITCHI015295	5	5	4	4	0
1000	1	LITCHI019332	LITCHI003417	2	2	1	1	0
1000	1	LITCHI019379	LITCHI020808	5	5	3	3	0
1000	1	LITCHI019480	LITCHI006751	2	2	2	2	0
1000	1	LITCHI019499	LITCHI018217	5	5	2	2	0
1000	1	LITCHI019504	LITCHI019260	5	5	2	2	0
1000	1	LITCHI019532	LITCHI005300	4	4	2	2	0
1000	1	LITCHI019601	LITCHI026327	2	2	5	5	0
1000	1	LITCHI019645	LITCHI025054	4	4	5	5	0
1000	1	LITCHI020277	LITCHI007300	3	3	3	3	0
1000	1	LITCHI020311	LITCHI009645	2	2	5	5	0
1000	1	LITCHI020383	LITCHI006759	2	2	3	3	0
1000	1	LITCHI020477	LITCHI016830	4	4	5	5	0
1000	1	LITCHI020505	LITCHI009852	4	4	1	1	0
1000	1	LITCHI020520	LITCHI016545	5	5	2	2	0
1000	1	LITCHI020527	LITCHI015363	5	5	2	2	0
