transcript_id	sample_id	count	exclusion_reason
HOST_Chr1	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr2	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr3	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr4	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr5	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr6	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr7	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr8	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr9	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr10	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr11	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr12	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr13	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr14	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
HOST_Chr15	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000001	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000002	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000003	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000004	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000005	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000006	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000007	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000008	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000009	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000010	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000011	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000012	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000013	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000014	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000015	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
PATH_GWHAOTU00000016	GI_24hpi_1	0	gentrome_target_absent_from_frozen_tx2gene
