window_bp	replicate	candidate_gene_id	background_gene_id	candidate_expression_bin	background_expression_bin	candidate_gc_bin	background_gc_bin	manhattan_bin_distance
1000	1	LITCHI000271	LITCHI020384	3	3	2	2	0
1000	1	LITCHI001129	LITCHI008124	3	3	2	2	0
1000	1	LITCHI001375	LITCHI005126	2	2	3	3	0
1000	1	LITCHI001603	LITCHI006106	2	2	1	1	0
1000	1	LITCHI001700	LITCHI007244	3	3	4	4	0
1000	1	LITCHI001879	LITCHI031746	3	3	2	2	0
1000	1	LITCHI001963	LITCHI008366	2	2	1	1	0
1000	1	LITCHI001999	LITCHI015954	5	5	1	1	0
1000	1	LITCHI002015	LITCHI020796	2	2	2	2	0
1000	1	LITCHI002040	LITCHI007503	5	5	3	3	0
1000	1	LITCHI002263	LITCHI029216	2	2	3	3	0
1000	1	LITCHI002571	LITCHI021105	2	2	2	2	0
1000	1	LITCHI003414	LITCHI019549	4	4	1	1	0
1000	1	LITCHI003497	LITCHI010276	2	2	4	4	0
1000	1	LITCHI003742	LITCHI024805	5	5	1	1	0
1000	1	LITCHI004207	LITCHI005471	2	2	3	3	0
1000	1	LITCHI004438	LITCHI014372	4	4	3	3	0
1000	1	LITCHI004751	LITCHI004722	3	3	1	1	0
1000	1	LITCHI004929	LITCHI004917	5	5	3	3	0
1000	1	LITCHI005008	LITCHI001278	5	5	4	4	0
1000	1	LITCHI005012	LITCHI018129	5	5	2	2	0
1000	1	LITCHI005048	LITCHI021876	4	4	4	4	0
1000	1	LITCHI005234	LITCHI005647	3	3	5	5	0
1000	1	LITCHI005254	LITCHI028975	1	1	1	1	0
1000	1	LITCHI005454	LITCHI009834	5	5	4	4	0
1000	1	LITCHI005518	LITCHI022094	5	5	4	4	0
1000	1	LITCHI005805	LITCHI024310	3	3	4	4	0
1000	1	LITCHI005866	LITCHI016704	4	4	1	1	0
1000	1	LITCHI006337	LITCHI001008	3	3	1	1	0
1000	1	LITCHI006466	LITCHI018639	2	2	4	4	0
1000	1	LITCHI006481	LITCHI019723	3	3	4	4	0
1000	1	LITCHI006703	LITCHI018105	3	3	2	2	0
1000	1	LITCHI006920	LITCHI001929	5	5	1	1	0
1000	1	LITCHI006923	LITCHI028706	4	4	3	3	0
1000	1	LITCHI007095	LITCHI023203	3	3	1	1	0
1000	1	LITCHI007293	LITCHI011583	5	5	3	3	0
1000	1	LITCHI007341	LITCHI005288	2	2	5	5	0
1000	1	LITCHI007955	LITCHI020521	4	4	4	4	0
1000	1	LITCHI008095	LITCHI019382	4	4	2	2	0
1000	1	LITCHI008313	LITCHI011354	3	3	3	3	0
1000	1	LITCHI008330	LITCHI009250	1	1	3	3	0
1000	1	LITCHI008721	LITCHI007067	4	4	1	1	0
1000	1	LITCHI008817	LITCHI024730	4	4	2	2	0
1000	1	LITCHI008905	LITCHI008701	5	5	1	1	0
1000	1	LITCHI009437	LITCHI022775	4	4	2	2	0
1000	1	LITCHI009639	LITCHI016862	2	2	1	1	0
1000	1	LITCHI009696	LITCHI010474	3	3	3	3	0
1000	1	LITCHI010138	LITCHI018957	5	5	4	4	0
1000	1	LITCHI010273	LITCHI015405	5	5	1	1	0
1000	1	LITCHI010325	LITCHI011388	3	3	1	1	0
1000	1	LITCHI010434	LITCHI005014	3	3	2	2	0
1000	1	LITCHI010541	LITCHI026682	3	3	5	5	0
1000	1	LITCHI010704	LITCHI018873	3	3	5	5	0
1000	1	LITCHI010765	LITCHI022535	1	1	5	5	0
1000	1	LITCHI010845	LITCHI012599	5	5	1	1	0
1000	1	LITCHI010877	LITCHI007430	2	2	4	4	0
1000	1	LITCHI010987	LITCHI005486	2	2	2	2	0
1000	1	LITCHI011122	LITCHI014784	2	2	2	2	0
1000	1	LITCHI011195	LITCHI005743	1	1	4	4	0
1000	1	LITCHI011255	LITCHI006098	4	4	1	1	0
1000	1	LITCHI011424	LITCHI022377	2	2	1	1	0
1000	1	LITCHI011520	LITCHI026249	5	5	2	2	0
1000	1	LITCHI011536	LITCHI012056	3	3	4	4	0
1000	1	LITCHI011959	LITCHI007241	4	4	3	3	0
1000	1	LITCHI012432	LITCHI001814	5	5	1	1	0
1000	1	LITCHI012815	LITCHI030778	2	2	2	2	0
1000	1	LITCHI013088	LITCHI016019	3	3	2	2	0
1000	1	LITCHI013276	LITCHI005863	2	2	3	3	0
1000	1	LITCHI013379	LITCHI023122	3	3	4	4	0
1000	1	LITCHI013895	LITCHI016997	4	4	3	3	0
1000	1	LITCHI013915	LITCHI013201	4	4	3	3	0
1000	1	LITCHI013925	LITCHI028594	3	3	4	4	0
1000	1	LITCHI014256	LITCHI013290	3	3	5	5	0
1000	1	LITCHI014400	LITCHI016871	5	5	3	3	0
1000	1	LITCHI014480	LITCHI029925	4	4	3	3	0
1000	1	LITCHI014613	LITCHI009050	2	2	2	2	0
1000	1	LITCHI014624	LITCHI025580	5	5	4	4	0
1000	1	LITCHI014759	LITCHI009229	3	3	2	2	0
1000	1	LITCHI014813	LITCHI012671	2	2	5	5	0
1000	1	LITCHI014858	LITCHI022240	2	2	1	1	0
1000	1	LITCHI014914	LITCHI006754	2	2	1	1	0
1000	1	LITCHI015464	LITCHI002855	2	2	4	4	0
1000	1	LITCHI015702	LITCHI009481	3	3	4	4	0
1000	1	LITCHI015740	LITCHI030817	3	3	3	3	0
1000	1	LITCHI015950	LITCHI025685	3	3	1	1	0
1000	1	LITCHI015982	LITCHI025582	2	2	4	4	0
1000	1	LITCHI016077	LITCHI006393	2	2	2	2	0
1000	1	LITCHI016297	LITCHI008938	3	3	1	1	0
1000	1	LITCHI016340	LITCHI005302	5	5	4	4	0
1000	1	LITCHI016395	LITCHI019196	2	2	1	1	0
1000	1	LITCHI016580	LITCHI016380	2	2	2	2	0
1000	1	LITCHI016665	LITCHI008912	2	2	2	2	0
1000	1	LITCHI016846	LITCHI010822	2	2	3	3	0
1000	1	LITCHI016911	LITCHI004767	5	5	5	5	0
1000	1	LITCHI016917	LITCHI011197	1	1	3	3	0
1000	1	LITCHI016983	LITCHI014317	5	5	2	2	0
1000	1	LITCHI016994	LITCHI030873	5	5	5	5	0
1000	1	LITCHI017301	LITCHI023128	2	2	1	1	0
1000	1	LITCHI017310	LITCHI007002	4	4	2	2	0
1000	1	LITCHI017559	LITCHI021969	1	1	5	5	0
1000	1	LITCHI017561	LITCHI025551	1	1	5	5	0
1000	1	LITCHI017634	LITCHI017604	3	3	3	3	0
1000	1	LITCHI017733	LITCHI013210	2	2	2	2	0
1000	1	LITCHI017753	LITCHI028018	3	3	3	3	0
1000	1	LITCHI017862	LITCHI026026	3	3	3	3	0
1000	1	LITCHI017954	LITCHI030439	3	3	1	1	0
1000	1	LITCHI018073	LITCHI014535	2	2	2	2	0
1000	1	LITCHI018309	LITCHI007992	2	2	4	4	0
1000	1	LITCHI018384	LITCHI010696	4	4	2	2	0
1000	1	LITCHI018512	LITCHI006236	1	1	3	3	0
1000	1	LITCHI018722	LITCHI025158	2	2	1	1	0
1000	1	LITCHI019041	LITCHI002036	4	4	5	5	0
1000	1	LITCHI019076	LITCHI026302	1	1	2	2	0
1000	1	LITCHI019095	LITCHI001791	3	3	3	3	0
1000	1	LITCHI019186	LITCHI007687	2	2	2	2	0
1000	1	LITCHI019319	LITCHI025974	3	3	4	4	0
1000	1	LITCHI019420	LITCHI023616	2	2	5	5	0
1000	1	LITCHI019626	LITCHI006403	4	4	5	5	0
1000	1	LITCHI019664	LITCHI005277	4	4	2	2	0
1000	1	LITCHI019822	LITCHI009129	4	4	2	2	0
1000	1	LITCHI019823	LITCHI000663	4	4	5	5	0
1000	1	LITCHI019824	LITCHI016394	3	3	3	3	0
1000	1	LITCHI019857	LITCHI018669	3	3	3	3	0
1000	1	LITCHI019897	LITCHI020579	4	4	1	1	0
1000	1	LITCHI019913	LITCHI005201	4	4	4	4	0
1000	1	LITCHI020058	LITCHI027080	4	4	5	5	0
1000	1	LITCHI020557	LITCHI019836	2	2	3	3	0
1000	1	LITCHI020645	LITCHI003617	4	4	4	4	0
1000	1	LITCHI020862	LITCHI022024	4	4	5	5	0
1000	1	LITCHI021120	LITCHI007152	3	3	1	1	0
1000	1	LITCHI021264	LITCHI025141	3	3	2	2	0
1000	1	LITCHI021309	LITCHI016148	3	3	4	4	0
1000	1	LITCHI021546	LITCHI016713	4	4	3	3	0
1000	1	LITCHI021650	LITCHI009037	3	3	3	3	0
1000	1	LITCHI021828	LITCHI021989	5	5	2	2	0
1000	1	LITCHI021860	LITCHI030853	4	4	2	2	0
1000	1	LITCHI021914	LITCHI006847	3	3	2	2	0
1000	1	LITCHI022018	LITCHI006114	2	2	3	3	0
1000	1	LITCHI022605	LITCHI001244	5	5	3	3	0
1000	1	LITCHI022789	LITCHI008106	4	4	1	1	0
1000	1	LITCHI022817	LITCHI011284	2	2	1	1	0
1000	1	LITCHI023078	LITCHI009990	2	2	1	1	0
1000	1	LITCHI023108	LITCHI008991	5	5	2	2	0
1000	1	LITCHI023124	LITCHI001130	3	3	3	3	0
1000	1	LITCHI023129	LITCHI028985	4	4	3	3	0
1000	1	LITCHI023296	LITCHI014619	2	2	3	3	0
1000	1	LITCHI023464	LITCHI017111	1	1	4	4	0
1000	1	LITCHI023626	LITCHI020440	4	4	2	2	0
1000	1	LITCHI024578	LITCHI015352	2	2	2	2	0
1000	1	LITCHI024820	LITCHI010106	4	4	3	3	0
1000	1	LITCHI025047	LITCHI015680	5	5	3	3	0
1000	1	LITCHI025204	LITCHI014254	3	3	4	4	0
1000	1	LITCHI025238	LITCHI029695	2	2	2	2	0
1000	1	LITCHI025608	LITCHI016915	3	3	1	1	0
1000	1	LITCHI025819	LITCHI007837	3	3	3	3	0
1000	1	LITCHI025875	LITCHI019427	3	3	3	3	0
1000	1	LITCHI026128	LITCHI010923	4	4	5	5	0
1000	1	LITCHI026129	LITCHI016391	3	3	5	5	0
1000	1	LITCHI026181	LITCHI007082	3	3	4	4	0
1000	1	LITCHI026900	LITCHI021218	3	3	2	2	0
1000	1	LITCHI027034	LITCHI026571	3	3	4	4	0
1000	1	LITCHI027135	LITCHI015264	2	2	1	1	0
1000	1	LITCHI027173	LITCHI003418	1	1	2	2	0
1000	1	LITCHI027341	LITCHI008731	2	2	1	1	0
1000	1	LITCHI027423	LITCHI007158	2	2	2	2	0
1000	1	LITCHI027669	LITCHI009838	4	4	4	4	0
1000	1	LITCHI027763	LITCHI004822	2	2	5	5	0
1000	1	LITCHI027783	LITCHI005571	2	2	3	3	0
1000	1	LITCHI028081	LITCHI029528	3	3	4	4	0
1000	1	LITCHI028340	LITCHI005161	3	3	3	3	0
1000	1	LITCHI028428	LITCHI023797	2	2	1	1	0
1000	1	LITCHI028584	LITCHI023007	5	5	1	1	0
1000	1	LITCHI028716	LITCHI017962	2	2	3	3	0
1000	1	LITCHI028717	LITCHI006712	5	5	5	5	0
1000	1	LITCHI028799	LITCHI026559	2	2	2	2	0
1000	1	LITCHI028926	LITCHI003300	2	2	3	3	0
1000	1	LITCHI028928	LITCHI021038	3	3	1	1	0
1000	1	LITCHI029020	LITCHI008221	4	4	2	2	0
1000	1	LITCHI029021	LITCHI021276	2	2	1	1	0
1000	1	LITCHI029066	LITCHI026203	5	5	3	3	0
1000	1	LITCHI029373	LITCHI023702	3	3	2	2	0
1000	1	LITCHI029443	LITCHI022254	1	1	3	3	0
1000	1	LITCHI029495	LITCHI009007	1	1	4	4	0
1000	1	LITCHI029534	LITCHI020416	5	5	4	4	0
1000	1	LITCHI029667	LITCHI001291	1	1	1	1	0
1000	1	LITCHI029789	LITCHI021094	5	5	3	3	0
1000	1	LITCHI030216	LITCHI025528	5	5	2	2	0
1000	1	LITCHI030334	LITCHI020694	1	1	3	3	0
1000	1	LITCHI030349	LITCHI022787	2	2	2	2	0
1000	1	LITCHI030441	LITCHI012065	4	4	1	1	0
1000	1	LITCHI030520	LITCHI009367	3	3	1	1	0
1000	1	LITCHI030689	LITCHI025120	2	2	1	1	0
1000	1	LITCHI030690	LITCHI018417	1	1	5	5	0
1000	1	LITCHI030745	LITCHI007807	2	2	2	2	0
1000	1	LITCHI030761	LITCHI009357	5	5	2	2	0
1000	1	LITCHI030763	LITCHI009875	3	3	3	3	0
1000	1	LITCHI030858	LITCHI004051	4	4	3	3	0
1000	1	LITCHI030862	LITCHI014299	5	5	3	3	0
1000	1	LITCHI030869	LITCHI003402	1	1	1	1	0
1000	1	LITCHI031005	LITCHI030644	1	1	4	4	0
1000	1	LITCHI031010	LITCHI008169	2	2	2	2	0
1000	1	LITCHI031097	LITCHI008480	5	5	1	1	0
1000	1	LITCHI031200	LITCHI031587	2	2	5	5	0
1000	1	LITCHI031372	LITCHI007716	5	5	2	2	0
1000	1	LITCHI031448	LITCHI014957	1	1	2	2	0
1000	1	LITCHI031732	LITCHI020763	2	2	5	5	0
1000	2	LITCHI000271	LITCHI016706	3	3	2	2	0
1000	2	LITCHI001129	LITCHI002176	3	3	2	2	0
1000	2	LITCHI001375	LITCHI011837	2	2	3	3	0
1000	2	LITCHI001603	LITCHI023084	2	2	1	1	0
1000	2	LITCHI001700	LITCHI020809	3	3	4	4	0
1000	2	LITCHI001879	LITCHI023694	3	3	2	2	0
1000	2	LITCHI001963	LITCHI029142	2	2	1	1	0
1000	2	LITCHI001999	LITCHI009858	5	5	1	1	0
1000	2	LITCHI002015	LITCHI021896	2	2	2	2	0
1000	2	LITCHI002040	LITCHI019006	5	5	3	3	0
