gene_id	contig	strand	tss_1based	window_bp	start_0based	end_0based	sequence_length	fraction_non_n	gc_fraction	mean_normalized_count	uniform_gene_qc_status	frozen_gene
LITCHI000001	HOST_Chr5	+	4288	1000	3287	4287	1000	1.0	0.337	nan	FAIL	False
LITCHI000001	HOST_Chr5	+	4288	2000	2287	4287	2000	1.0	0.3225	nan	FAIL	False
LITCHI000002	HOST_Chr5	+	21211	1000	20210	21210	1000	1.0	0.323	nan	FAIL	False
LITCHI000002	HOST_Chr5	+	21211	2000	19210	21210	2000	1.0	0.305	nan	FAIL	False
LITCHI000003	HOST_Chr5	-	53912	1000	53912	54912	1000	1.0	0.396	15.718666963326166	PASS	False
LITCHI000003	HOST_Chr5	-	53912	2000	53912	55912	2000	1.0	0.4085	15.718666963326166	PASS	False
LITCHI000004	HOST_Chr5	-	54723	1000	54723	55723	1000	1.0	0.417	22.358637563160794	FAIL	False
LITCHI000004	HOST_Chr5	-	54723	2000	54723	56723	2000	1.0	0.396	22.358637563160794	FAIL	False
LITCHI000005	HOST_Chr5	-	57871	1000	57871	58871	1000	1.0	0.272	29.969269892529606	FAIL	False
LITCHI000005	HOST_Chr5	-	57871	2000	57871	59871	2000	1.0	0.2865	29.969269892529606	FAIL	False
LITCHI000006	HOST_Chr5	+	88578	1000	87577	88577	1000	1.0	0.258	nan	FAIL	False
LITCHI000006	HOST_Chr5	+	88578	2000	86577	88577	2000	1.0	0.298	nan	FAIL	False
LITCHI000007	HOST_Chr5	-	99864	1000	99864	100864	1000	1.0	0.192	187.0195877595844	FAIL	False
LITCHI000007	HOST_Chr5	-	99864	2000	99864	101864	2000	1.0	0.277	187.0195877595844	FAIL	False
LITCHI000008	HOST_Chr5	-	104430	1000	104430	105430	1000	1.0	0.442	12.518565678749129	FAIL	False
LITCHI000008	HOST_Chr5	-	104430	2000	104430	106430	2000	1.0	0.472	12.518565678749129	FAIL	False
LITCHI000009	HOST_Chr5	-	139730	1000	139730	140730	1000	1.0	0.338	nan	FAIL	False
LITCHI000009	HOST_Chr5	-	139730	2000	139730	141730	2000	1.0	0.3215	nan	FAIL	False
LITCHI000010	HOST_Chr5	-	160641	1000	160641	161641	1000	1.0	0.282	nan	FAIL	False
LITCHI000010	HOST_Chr5	-	160641	2000	160641	162641	2000	1.0	0.2845	nan	FAIL	False
LITCHI000011	HOST_Chr5	-	166748	1000	166748	167748	1000	1.0	0.322	nan	FAIL	False
LITCHI000011	HOST_Chr5	-	166748	2000	166748	168748	2000	1.0	0.326	nan	FAIL	False
LITCHI000012	HOST_Chr5	-	186342	1000	186342	187342	1000	1.0	0.266	nan	FAIL	False
